location,n_peak,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
Argentina,2.0,2.3957146809917,1.0,7.0,5.0,2.0,2.0,84.21,-30.0,420958.0,25398.0,1.11,52811.0,213.0,4.7,79.17,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,88261.66666666667,76.67,845.0
Argentina,3.0,6.78791256479573,6.0,2.0,11.0,3.0,4.0,87.84,-43.0,9738487.0,2652367.0,1.08,115360.0,284.0,3.5,81.48,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,74540.33333333333,76.67,845.0
Argentina,4.0,23.5049813309895,15.0,29.0,23.0,6.0,8.0,73.64,-11.0,35916165.0,33761195.0,1.29,122005.0,618.0,1.6,49.07,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,81020.0,76.67,845.0
Argentina,5.0,1.49474205807081,32.0,27.0,3.0,1.0,2.0,51.65,14.0,35916165.0,33761195.0,-0.02,8760.0,303.0,3.3,51.54333333333333,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,81020.0,76.67,845.0
Armenia,1.0,1.96090030009986,1.0,12.0,4.0,2.0,2.0,74.56,-17.0,0.0,0.0,1.1,2065.0,326.0,3.1,37.34333333333333,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
Armenia,2.0,6.7863322965959,6.0,2.0,11.0,3.0,4.0,66.65,-14.0,0.0,0.0,1.16,5392.0,471.0,2.1,37.34333333333333,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
Armenia,3.0,3.06151234409899,22.0,28.0,6.0,2.0,3.0,45.88,-14.0,0.0,0.0,1.1,6354.0,177.0,5.6,37.34333333333333,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
Armenia,4.0,6.24723779382331,25.0,2.0,10.0,3.0,4.0,40.09,-3.0,526399.0,223123.0,1.14,13696.0,129.0,7.8,78.08666666666666,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
Armenia,5.0,9.4714884851344,10.0,11.0,14.0,4.0,5.0,32.4,-8.0,1053086.0,854190.0,1.49,8857.0,417.0,2.4,44.75333333333333,102931.0,35.7,11232.0,7571.0,8787.58,1.8,341.01,7.11,1.5,52.1,94043.0,75.09,776.0
Austria,1.0,7.26890595001968,19.0,5.0,12.0,3.0,5.0,58.28,-31.0,0.0,0.0,1.22,38226.0,194.37013333333334,16.133333333333333,75.0,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,85198.0,81.54,922.0
Austria,2.0,3.40423438450874,12.0,17.0,6.0,2.0,3.0,52.21,-28.0,1191356.0,440147.0,1.07,485632.0,0.01,100.2,73.15,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,85198.0,81.54,922.0
Austria,3.0,14.1570440123202,16.0,16.0,18.0,5.0,7.0,43.74,-14.0,6327506.0,5823533.0,1.23,430547.0,0.0279,35.8,59.26,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,85198.0,81.54,922.0
Austria,4.0,47.7021173838101,11.0,9.0,29.0,9.0,11.0,30.5,-6.0,6816595.0,6407600.0,1.16,768595.0,0.0759,13.2,33.02666666666667,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,85198.0,81.54,922.0
