index,n_pico,location,peak_date,peak_magnitude,peak_magnitude_norm,bins_fd,bins_sturges,bins_scott,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
182,4,Bahamas,2020-10-16,95.9283971814465,2.41685597337072,5,2,2,44.89,-56.0,,,BHS,North America,5517,114857,114,1714,13899736.0,332566.0,289375.0,287216.0,5039.0,4319.0,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,2.9,73.92,814.0,,,,
187,9,Bahamas,2021-04-26,57.7021102723233,1.45376858141369,3,1,2,66.25,-24.0,25151.0,3804.0,BHS,North America,10220,61286,198,571,25748651.0,428304.0,154406.0,498849.0,5039.0,1.44,1.25,,,,,,,,,,,,,,,,,,,,,,,573.0,,,,,1444.0,573.0,144.0,59.72,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,2.9,73.92,814.0,,,,
189,11,Bahamas,2021-08-22,118.453211307728,2.98435457826451,6,2,3,71.52,-17.0,74271.0,55291.0,BHS,North America,16962,117286,330,2714,42734698.0,0.0,295494.0,831414.0,0.0,6838.0,1.15,,,,,,,,,,,,,,,,,,129017.0,73726.0,55291.0,,,1950.0,32.51,18.57,13.93,,4913.0,1126.0,284.0,55.56,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,2.9,73.92,814.0,,,,
192,14,Bahamas,2022-01-08,390.52542125912,9.83904375404042,14,4,5,46.67,-12.0,159027.0,149486.0,BHS,North America,27122,378,717,0,68332183.0,0.0,952347.0,1806437.0,0.0,0.0,1.31,,,,,,,,,,,,,1095.0,2759.0,0.3452,2.9,tests performed,,,,,,634.0,,,,,1597.0,99.0,25.0,48.15,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,2.9,73.92,814.0,,,,
193,15,Bahamas,2022-05-28,55.2336975725615,1.3915784671884,3,1,2,40.39,6.0,166781.0,156774.0,BHS,North America,34572,51429,810,0,87101992.0,0.0,129571.0,2040744.0,0.0,0.0,1.19,,,,,,,,,,,,,237.0,597.0,217.0,4.6,tests performed,,,,,,,,,,,,,,44.44,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,2.9,73.92,814.0,,,,
196,3,Bahrain,2020-09-14,681.708039531633,3.8992735180941,7,2,3,59.56,-20.0,,,BHR,Asia,60965,698429,213,1857,34871117.0,376367.0,399491.0,121833.0,572.0,1062.0,1.14,,,,,,,,,1252898.0,,716.64,,9862.0,5641.0,0.0708,14.1,units unclear,,,,,,,,,,,,,,60.19,1748295,1935907.0,32.4,2372.0,1387.0,43290705.0,,151689.0,16.52,5.8,37.6,,2.0,77.29,852.0,,,,
199,6,Bahrain,2021-05-25,2582.86027566259,14.7735952780428,18,5,7,72.69,-16.0,890450.0,732710.0,BHR,Asia,223613,2727,866,14429,127903472.0,1582113.0,1559805.0,495.34,10296.0,8253.0,1.21,,,,,,,,,4509481.0,19951.0,2579359.0,11412.0,19352.0,11069.0,0.1409,7.1,units unclear,1621198.0,888488.0,732710.0,,19516.0,16332.0,92.73,50.82,41.91,,9342.0,4708.0,269.0,53.7,1748295,1935907.0,32.4,2372.0,1387.0,43290705.0,,151689.0,16.52,5.8,37.6,,2.0,77.29,852.0,,,,
202,9,Bahrain,2022-02-04,6749.31830517653,38.6051456143073,27,8,10,65.71,-5.0,1227732.0,1154068.0,BHR,Asia,405938,7232,1410,1,232190792.0,4160053.0,4136602.0,806.5,0.0,572.0,1.26,,,,,,,,,8873645.0,33630.0,5075599.0,19236.0,29655.0,16962.0,0.2439,4.1,units unclear,3365901.0,1225770.0,1195535.0,944596.0,1308.0,2429.0,192.52,70.11,68.38,54.03,1389.0,591.0,34.0,50.93,1748295,1935907.0,32.4,2372.0,1387.0,43290705.0,,151689.0,16.52,5.8,37.6,,2.0,77.29,852.0,,,,
205,1,Bangladesh,2020-06-26,3601.34326076477,0.216552471276687,1,1,1,68.04,-48.0,,,BGD,Asia,130474,3562714,1661,39,784554.0,23259.0,21423.0,9988.0,241.0,235.0,1.09,,,,,,,,,697777.0,18498.0,4196.0,111.0,16342.0,98.0,218.0,4.6,tests performed,,,,,,,,,,,,,,74.54,166303494,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,0.8,72.59,632.0,,,,
208,4,Bangladesh,2021-04-07,6242.13969640929,0.375346274829878,2,1,1,65.07,-24.0,5568703.0,80178.0,BGD,Asia,659278,6854714,9447,57286,3964306.0,45856.0,41218.0,56806.0,379.0,344.0,1.26,,,,,,,,,4883900.0,34630.0,29367.0,208.0,30355.0,183.0,0.2258,4.4,tests performed,5568703.0,5568703.0,,,,28325.0,3.35,3.35,,,170.0,28325.0,17.0,83.33,166303494,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,0.8,72.59,632.0,,,,
210,6,Bangladesh,2021-08-01,12854.4998366813,0.772954285415152,2,1,1,65.01,-39.0,8803650.0,4338165.0,BGD,Asia,1264328,14241857,20916,234571,7602534.0,89258.0,85638.0,125.77,1389.0,1411.0,1.15,,,,,,,,,7791758.0,49529.0,46853.0,298.0,47877.0,288.0,0.2975,3.4,tests performed,13141815.0,8803650.0,4338165.0,,292550.0,396478.0,7.9,5.29,2.61,,2384.0,389620.0,234.0,93.52,166303494,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,0.8,72.59,632.0,,,,
211,7,Bangladesh,2022-01-28,12403.4337575573,0.745831218528536,2,1,1,52.1,28.0,97841338.0,60963557.0,BGD,Asia,1762771,14022143,28308,16571,10599723.0,92842.0,84317.0,170219.0,0.12,0.1,1.35,,,,,,,,,12358300.0,46268.0,74312.0,278.0,44176.0,266.0,0.3174,3.2,tests performed,,,,,,890031.0,,,,,5352.0,435334.0,262.0,68.52,166303494,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,0.8,72.59,632.0,,,,
225,12,Barbados,2021-02-16,73.4376687070377,2.55250701082478,5,2,2,29.0,-75.0,6683.0,221.0,BRB,North America,2331,73857,25,714,8101964.0,218972.0,256709.0,86894.0,3476.0,2483.0,1.19,,,,,,,,,,,,,,,,,,6683.0,6683.0,,,2193.0,2193.0,2.32,2.32,,,7622.0,2193.0,762.0,74.07,287708,664463.0,39.8,14952.0,9473.0,16978068.0,,170.05,13.57,1.9,14.5,88469.0,5.8,79.19,814.0,,,,
229,16,Barbados,2021-10-27,342.093678168596,11.8903081655218,16,4,6,57.69,-14.0,148451.0,124043.0,BRB,North America,16424,355714,149,3714,57085656.0,1359017.0,1236373.0,517886.0,20854.0,12.91,1.07,,,,,,,,,,,,,,,,,,272021.0,147978.0,124043.0,,1102.0,960.0,94.55,51.43,43.11,,3337.0,267.0,93.0,67.59,287708,664463.0,39.8,14952.0,9473.0,16978068.0,,170.05,13.57,1.9,14.5,88469.0,5.8,79.19,814.0,,,,
230,17,Barbados,2022-01-28,635.10935433851,22.0747895205733,22,6,8,57.69,-2.0,159002.0,146993.0,BRB,North America,42851,668571,277,429,148939202.0,2533819.0,2323785.0,962782.0,0.0,1.49,1.1,,,,,,,,,,,,,,,,,,,,,,,193.0,,,,,671.0,96.0,33.0,62.04,287708,664463.0,39.8,14952.0,9473.0,16978068.0,,170.05,13.57,1.9,14.5,88469.0,5.8,79.19,814.0,,,,
231,18,Barbados,2022-05-07,438.192229185361,15.2304499417938,18,5,7,57.69,2.0,162176.0,152234.0,BRB,North America,73198,445429,405,1571,254417673.0,1581465.0,1548197.0,1407677.0,6951.0,5462.0,1.03,,,,,,,,,659902.0,,2293652.0,,1373.0,4772.0,0.3244,3.1,tests performed,314065.0,161885.0,152180.0,,25.0,48.0,109.16,56.27,52.89,,167.0,20.0,7.0,43.52,287708,664463.0,39.8,14952.0,9473.0,16978068.0,,170.05,13.57,1.9,14.5,88469.0,5.8,79.19,814.0,,,,
233,2,Belarus,2020-12-19,1895.50198714578,2.00733737661007,4,2,2,68.93,-15.0,0.0,0.0,BLR,Europe,171579,1892143,1316,8857,18170223.0,204493.0,200378.0,139364.0,847.0,938.0,1.02,,,,,,,,,,,,,23159.0,2453.0,0.0817,12.2,tests performed,,,,,,,,,,,,,,37.04,9442867,46858.0,40.3,14799.0,9788.0,17167967.0,,443129.0,5.18,10.5,46.1,,11.0,74.79,823.0,,,,
239,8,Belarus,2021-10-19,2024.03210275602,2.14345082140416,4,2,2,70.02,-11.0,2656545.0,1904108.0,BLR,Europe,575856,2014714,4432,16143,60983174.0,202587.0,213358.0,469349.0,1589.0,1.71,1.01,,,,,,,,,,,,,34891.0,3695.0,0.0577,17.3,tests performed,,,,,,37913.0,,,,,4015.0,20474.0,217.0,19.44,9442867,46858.0,40.3,14799.0,9788.0,17167967.0,,443129.0,5.18,10.5,46.1,,11.0,74.79,823.0,,,,
240,9,Belarus,2022-02-13,7267.18270812817,7.69594944853949,12,3,5,46.67,-15.0,5465447.0,4497626.0,BLR,Europe,831966,7796429,6253,15143,88105233.0,944734.0,825642.0,662193.0,1694.0,1604.0,1.28,,,,,,,,,,,,,28467.0,3015.0,0.2739,3.7,tests performed,10425997.0,5460847.0,4497626.0,,,32333.0,110.41,57.83,47.63,,3424.0,10477.0,111.0,23.15,9442867,46858.0,40.3,14799.0,9788.0,17167967.0,,443129.0,5.18,10.5,46.1,,11.0,74.79,823.0,,,,
244,4,Belgium,2020-10-27,14769.2436557654,12.6967155996083,17,4,6,72.32,-37.0,,,BEL,Europe,347289,15304286,11038,78429,29855487.0,1166662.0,1315668.0,948907.0,11949.0,6742.0,1.24,912.0,78402.0,5548.0,476946.0,,,3965.0,340.86,4749745.0,71476.0,408323.0,6145.0,64974.0,5586.0,269.0,3.7,tests performed,,,,,,,,,,,,,,54.63,11632334,375564.0,41.8,18571.0,12849.0,42658576.0,0.2,114898.0,4.29,25.1,31.4,,5.64,81.63,931.0,,,,
252,12,Belgium,2022-03-23,10331.2279261678,8.88147462595881,13,3,5,12.41,-10.0,9268961.0,8712824.0,BEL,Europe,3757776,10570286,30635,20429,323045745.0,1389403.0,908699.0,2633607.0,2579.0,1756.0,1.17,172.0,14786.0,2590.0,222655.0,,,1284.0,110382.0,32580324.0,47660.0,2800842.0,4097.0,38337.0,3296.0,302.0,3.3,tests performed,25238250.0,9234580.0,9129898.0,7303002.0,13791.0,5374.0,216.97,79.39,78.49,62.78,462.0,224.0,2.0,23.15,11632334,375564.0,41.8,18571.0,12849.0,42658576.0,0.2,114898.0,4.29,25.1,31.4,,5.64,81.63,931.0,,,,
260,7,Belize,2020-12-06,234.0197099605,5.77947742021165,10,3,4,,,,,BLZ,North America,7769,289429,173,3714,19186743.0,414902.0,714788.0,427.25,2.47,9173.0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,404915,16426.0,25.0,3853.0,2279.0,7824362.0,,176957.0,17.11,,,90083.0,1.3,74.62,716.0,,,,
265,12,Belize,2021-10-17,235.937636528997,5.82684357282385,10,3,4,53.98,-11.0,211549.0,157364.0,BLZ,North America,23990,257571,461,4857,59247002.0,0.0,636112.0,1138511.0,0.0,11995.0,1.2,,,,,,,,,,,,,1567.0,3.87,0.1644,6.1,tests performed,,,,,,1738.0,,,,,4292.0,1038.0,256.0,70.37,404915,16426.0,25.0,3853.0,2279.0,7824362.0,,176957.0,17.11,,,90083.0,1.3,74.62,716.0,,,,
266,13,Belize,2022-01-18,704.418831803561,17.3967087364894,20,5,7,64.64,-2.0,231999.0,201830.0,BLZ,North America,43115,720429,611,571,106479138.0,3082128.0,1779209.0,1508959.0,0.0,1411.0,1.31,,,,,,,,,,,,,2790.0,6.89,0.2582,3.9,tests performed,,,,,,739.0,,,,,1825.0,86.0,21.0,72.22,404915,16426.0,25.0,3853.0,2279.0,7824362.0,,176957.0,17.11,,,90083.0,1.3,74.62,716.0,,,,
278,11,Benin,2021-02-14,75.4060625856816,0.0605621033195417,1,1,1,54.64,-21.0,0.0,0.0,BEN,Africa,4560,52429,56,143,366235.0,0.0,4211.0,4498.0,0.0,11.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.56,12451031,99.11,18.8,3244.0,1942.0,2064236.0,49.6,235848.0,0.99,0.6,12.3,11035.0,0.5,61.77,545.0,,,,
282,15,Benin,2021-09-03,447.444042387586,0.359363045829366,2,1,1,52.57,1.0,128417.0,94718.0,BEN,Africa,16946,511429,135,1,1361012.0,81439.0,41075.0,10842.0,321.0,0.08,0.49,,,,,,,,,,,,,,,,,,,,,,,3579.0,,,,,287.0,4261.0,34.0,44.44,12451031,99.11,18.8,3244.0,1942.0,2064236.0,49.6,235848.0,0.99,0.6,12.3,11035.0,0.5,61.77,545.0,,,,
327,2,Bolivia,2020-08-01,1502.40201179538,1.26967813549856,3,1,2,83.71,-54.0,,,BOL,South America,78793,1501714,3064,75571,6658787.0,169358.0,126.91,258938.0,7352.0,6387.0,1.02,,,,,,,,,154047.0,3519.0,13018.0,297.0,2754.0,233.0,0.5453,1.8,tests performed,,,,,,,,,,,,,,89.81,11832936,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,,,25383.0,1.1,71.51,718.0,,,,
329,4,Bolivia,2021-01-24,2067.32846493747,1.74709680246514,4,1,2,82.23,-32.0,0.0,0.0,BOL,South America,201037,1979143,9985,49857,16989613.0,88566.0,167257.0,843831.0,4902.0,4213.0,1.1,,,,,,,,,513870.0,3628.0,43427.0,307.0,4938.0,417.0,0.4008,2.5,tests performed,,,,,,,,,,,,,,30.56,11832936,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,,,25383.0,1.1,71.51,718.0,,,,
331,6,Bolivia,2021-05-28,2762.86748354366,2.33489599161498,5,2,2,81.48,-14.0,1271262.0,345396.0,BOL,South America,364570,3072143,14377,85286,30809767.0,252685.0,259626.0,1214999.0,5493.0,7207.0,1.11,211.0,17832.0,2361.0,199528.0,,,,,1452301.0,14325.0,122734.0,1211.0,12189.0,1.03,252.0,4.0,tests performed,1616658.0,1271262.0,345396.0,,52309.0,37096.0,13.66,10.74,2.92,,3135.0,30404.0,257.0,27.78,11832936,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,,,25383.0,1.1,71.51,718.0,,,,
333,8,Bolivia,2022-01-14,9759.9874117077,8.24815363803852,13,3,5,73.48,7.0,6406691.0,4903383.0,BOL,South America,725459,10377143,20149,37286,61308453.0,1196.66,876971.0,1702.79,3887.0,3151.0,1.19,175.0,14789.0,1825.0,154231.0,,,,,3355066.0,29723.0,283536.0,2512.0,22398.0,1893.0,0.4633,2.2,tests performed,11038395.0,6395421.0,4903383.0,732411.0,72624.0,78859.0,93.29,54.05,41.44,6.19,6664.0,43906.0,371.0,29.63,11832936,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,,,25383.0,1.1,71.51,718.0,,,,
361,6,Bosnia and Herzegovina,2020-11-04,1516.86440902296,4.64802655410397,8,2,3,47.53,-16.0,,,BIH,Europe,55598,1551571,1358,28143,17036525.0,544208.0,475438.0,416123.0,12563.0,8624.0,1.21,,,,,,,,,327103.0,4456.0,100232.0,1365.0,3424.0,1049.0,0.4531,2.2,tests performed,,,,,,,,,,,,,,42.59,3263459,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,3.5,77.4,0.78,,,,
362,7,Bosnia and Herzegovina,2021-03-28,1530.86173278141,4.69091762078644,8,2,3,45.86,-30.0,0.0,10000.0,BIH,Europe,162032,1527857,6220,63857,49650386.0,0.0,468171.0,1905953.0,0.0,19567.0,1.17,,,,,,,,,,,,,4628.0,1418.0,0.3301,3.0,tests performed,,,,,,574.0,,,,,176.0,413.0,13.0,42.59,3263459,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,3.5,77.4,0.78,,,,
365,10,Bosnia and Herzegovina,2022-01-19,2226.66730941796,6.82302829426679,11,3,4,23.98,-22.0,935118.0,831493.0,BIH,Europe,324026,2370429,13912,30857,99289128.0,916819.0,726355.0,4262961.0,7354.0,9455.0,1.31,,,,,,,,,,,,,,,,,,,,,,,4315.0,,,,,1322.0,1020.0,31.0,35.19,3263459,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,3.5,77.4,0.78,,,,
381,15,Botswana,2021-08-06,2032.55780329624,8.4787413996773,13,3,5,71.42,31.0,243894.0,132466.0,BWA,Africa,122574,2269143,1704,19286,51131301.0,0.0,946565.0,710817.0,0.0,8045.0,1.26,,,,,,,,,1542739.0,,643548.0,,3966.0,1654.0,0.5721,1.7,tests performed,376360.0,243894.0,132466.0,,,1603.0,15.7,10.17,5.53,,669.0,874.0,36.0,53.7,2397240,4044.0,25.8,3941.0,2242.0,15807374.0,,237372.0,4.81,5.7,34.4,,1.8,69.59,735.0,,,,
386,20,Botswana,2022-03-30,3065.13770137078,12.7861111168293,17,4,6,59.99,77.0,1461583.0,1323270.0,BWA,Africa,305526,5939429,2686,9571,127449066.0,17343278.0,2477611.0,1120455.0,27949.0,3993.0,0.17,,,,,,,,,,,,,1166.0,486.0,,,tests performed,,,,,,9685.0,,,,,4040.0,506.0,21.0,13.89,2397240,4044.0,25.8,3941.0,2242.0,15807374.0,,237372.0,4.81,5.7,34.4,,1.8,69.59,735.0,,,,
389,2,Brazil,2020-07-29,44610.22865837,2.08465401789441,4,2,2,70.11,-30.0,,,BRA,South America,2559132,45986143,90259,1042857,11958927.0,259125.0,214895.0,421784.0,5603.0,4873.0,1.07,,,,,,,,,,,,,126094.0,589.0,,,tests performed,,,,,,,,,,,,,,72.69,213993441,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,,2.2,75.88,765.0,,,,
393,6,Brazil,2021-03-22,74347.5380192655,3.47429050497232,7,2,3,68.11,-40.0,12314847.0,4252255.0,BRA,South America,12062229,75293,295926,2301286,56367284.0,261.55,351847.0,1382874.0,7491.0,10754.0,1.06,,,,,,,,,38533309.0,118714.0,180068.0,555.0,89343.0,418.0,,,tests performed,16567102.0,12314847.0,4252255.0,,586739.0,400504.0,7.74,5.75,1.99,,1872.0,318151.0,149.0,70.83,213993441,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,,2.2,75.88,765.0,,,,
399,12,Brazil,2022-01-29,174802.006990527,8.16856844647528,13,3,5,59.28,0.0,169844640.0,149779557.0,BRA,South America,25256198,189227,626870,525571,118023234.0,960763.0,884265.0,2929389.0,3271.0,2456.0,1.29,,,,,,,,,,,,,76544.0,358.0,,,tests performed,361165196.0,169825847.0,149779557.0,46576117.0,672466.0,1202899.0,168.77,79.36,69.99,21.77,5621.0,258724.0,121.0,61.57,213993441,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,,2.2,75.88,765.0,,,,
443,4,Bulgaria,2020-11-15,3276.92141151099,4.75146489350416,8,2,3,56.81,-19.0,,,BGR,Europe,98251,3298714,2130,66429,14246182.0,118318.0,478306.0,308845.0,5655.0,9632.0,1.12,295.0,42774.0,5166.0,749059.0,,,,,853900.0,6450.0,123814.0,935.0,8660.0,1256.0,0.3809,2.6,tests performed,,,,,,,,,,,,,,48.15,6896655,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,,7454.0,75.05,816.0,3716.6,3.94,87.56,538.89893
444,5,Bulgaria,2021-03-24,3553.40539959662,5.15236067281402,9,3,4,57.11,-27.0,321332.0,79977.0,BGR,Europe,317116,3621,12413,99714,45981131.0,634366.0,525037.0,1799858.0,15.37,14458.0,1.13,729.0,105703.0,8927.0,1294396.0,,,,,,,,,15609.0,2263.0,232.0,4.3,tests performed,401309.0,321332.0,79977.0,,12504.0,7230.0,5.82,4.66,1.16,,1048.0,4912.0,71.0,61.11,6896655,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,,7454.0,75.05,816.0,,,,
446,7,Bulgaria,2021-10-28,4481.83796110221,6.49856772754649,11,3,4,47.06,-8.0,1662785.0,1491628.0,BGR,Europe,592943,4721429,23718,125571,85975448.0,750799.0,684597.0,3439059.0,17.98,18208.0,1.17,607.0,88014.0,7373.0,1069069.0,,,,,,,,,34386.0,4986.0,0.1373,7.3,tests performed,2824345.0,,1491628.0,,23380.0,19833.0,40.95,,21.63,,2876.0,9454.0,137.0,50.0,6896655,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,,7454.0,75.05,816.0,,,,
447,8,Bulgaria,2022-01-25,8470.22188519604,12.281637816008,17,4,6,46.8,-17.0,2205988.0,1980511.0,BGR,Europe,903676,8841571,32869,75857,131031058.0,1797828.0,1282009.0,4765934.0,10585.0,10999.0,1.17,517.0,74964.0,5327.0,772403.0,,,,,,,,,30627.0,4441.0,0.2887,3.5,tests performed,4114896.0,,1980511.0,580808.0,10657.0,10745.0,59.67,,28.72,8.42,1558.0,2196.0,32.0,50.0,6896655,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,,7454.0,75.05,816.0,,,,
454,7,Burkina Faso,2020-12-20,159.1235454615,0.0740209459265593,1,1,1,33.52,13.0,0.0,0.0,BFA,Africa,5160,161429,76,714,240032.0,9583.0,7509.0,3535.0,93.0,33.0,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89,21497097,70151.0,17.6,2409.0,1358.0,1703102.0,43.7,269048.0,2.42,1.6,23.9,11877.0,0.4,61.58,452.0,,,,
463,16,Burkina Faso,2022-01-06,166.885118324119,0.0776314673205033,1,1,1,14.16,39.0,1185689.0,736162.0,BFA,Africa,18637,143571,333,2143,866954.0,0.0,6679.0,15.49,0.0,0.1,0.39,,,,,,,,,,,,,,,,,,,,,,,9770.0,,,,,454.0,9408.0,44.0,13.89,21497097,70151.0,17.6,2409.0,1358.0,1703102.0,43.7,269048.0,2.42,1.6,23.9,11877.0,0.4,61.58,452.0,,,,
498,14,Cambodia,2021-06-03,645.895312084493,0.381139096707648,2,1,1,79.8,-34.0,2688014.0,2094573.0,KHM,Asia,32189,650143,236,6,1899454.0,43018.0,38365.0,13926.0,354.0,354.0,1.09,,,,,,,,,1173413.0,5785.0,69242.0,341.0,6233.0,368.0,0.1043,9.6,tests performed,4782587.0,2688014.0,2094573.0,,58643.0,80408.0,28.22,15.86,12.36,,4745.0,38533.0,227.0,66.2,16946446,90672.0,25.6,4412.0,2385.0,3645.07,,270892.0,4.0,2.0,33.7,66229.0,0.8,69.82,594.0,,,,
500,16,Cambodia,2021-09-22,688.1121532209,0.406051011062083,2,1,1,77.04,-35.0,12702596.0,10624382.0,KHM,Asia,105981,648286,2154,12429,6253878.0,37589.0,38255.0,127106.0,826.0,733.0,1.02,,,,,,,,,,,,,3435.0,203.0,0.1887,5.3,tests performed,23099813.0,12666817.0,10624382.0,849610.0,281153.0,272988.0,136.31,74.75,62.69,5.01,16109.0,165803.0,978.0,69.44,16946446,90672.0,25.6,4412.0,2385.0,3645.07,,270892.0,4.0,2.0,33.7,66229.0,0.8,69.82,594.0,,,,
501,17,Cambodia,2022-02-22,456.037483167242,0.269105087383657,1,1,1,62.43,-16.0,14437616.0,13571359.0,KHM,Asia,127575,490857,3022,1,7528127.0,35288.0,28965.0,178326.0,118.0,59.0,1.37,,,,,,,,,2846617.0,2334.0,167977.0,138.0,2788.0,165.0,0.1761,5.7,tests performed,34509791.0,14401837.0,13827084.0,7334021.0,125602.0,66823.0,203.64,84.98,81.59,43.28,3943.0,2387.0,14.0,29.63,16946446,90672.0,25.6,4412.0,2385.0,3645.07,,270892.0,4.0,2.0,33.7,66229.0,0.8,69.82,594.0,,,,
514,13,Cameroon,2021-03-31,1155.73427738442,0.424523639018909,2,1,1,31.6,2.0,0.0,0.0,CMR,Africa,47669,1006714,721,17143,1750975.0,0.0,36979.0,26484.0,0.0,0.63,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.19,27224262,50885.0,18.8,3165.0,1919.0,3364926.0,23.8,244661.0,7.2,,,2735.0,1.3,59.29,563.0,,,,
519,18,Cameroon,2021-10-01,644.99039515848,0.236917494828135,1,1,1,25.88,20.0,386982.0,84408.0,CMR,Africa,92303,984143,1459,13,3390468.0,0.0,36149.0,53592.0,0.0,478.0,0.54,,,,,,,,,,,,,,,,,,,,,,,1610.0,,,,,59.0,1450.0,5.0,38.89,27224262,50885.0,18.8,3165.0,1919.0,3364926.0,23.8,244661.0,7.2,,,2735.0,1.3,59.29,563.0,,,,
522,21,Cameroon,2022-01-23,373.642614896854,0.137246186837628,1,1,1,23.74,33.0,903977.0,697097.0,CMR,Africa,114113,635286,1867,2,4191592.0,0.0,23335.0,68579.0,0.0,73.0,0.43,,,,,,,,,,,,,,,,,,,,,,,6236.0,,,,,229.0,7159.0,26.0,30.56,27224262,50885.0,18.8,3165.0,1919.0,3364926.0,23.8,244661.0,7.2,,,2735.0,1.3,59.29,563.0,,,,
530,5,Canada,2021-01-05,7685.57505922581,2.01891158551976,4,2,2,84.92,-48.0,156677.0,6.0,CAN,North America,629266,7675143,17410,139143,16530089.0,197752.0,201617.0,457341.0,4334.0,3655.0,1.07,859.0,22565.0,4457.0,117.08,,,,,18514140.0,83429.0,486345.0,2192.0,103907.0,2.73,0.0739,13.5,tests performed,156845.0,156839.0,6.0,,17879.0,12108.0,0.41,0.41,0.0,,318.0,12107.0,32.0,72.69,38067913,4037.0,41.4,16984.0,10797.0,44017591.0,0.5,105599.0,7.37,12.0,16.6,,2.5,82.43,929.0,,,,
531,6,Canada,2021-04-15,8474.58761716146,2.22617604940976,4,2,2,80.28,-33.0,8402488.0,900049.0,CAN,North America,1109740,8861429,24364,62143,29151585.0,256279.0,232779.0,640014.0,1813.0,1632.0,1.11,1117.0,29342.0,3766.0,98928.0,,,,,29498439.0,133832.0,774.89,3516.0,131479.0,3454.0,0.0674,14.8,tests performed,9310518.0,8408387.0,902084.0,47.0,309827.0,278866.0,24.46,22.09,2.37,0.0,7325.0,263685.0,693.0,75.46,38067913,4037.0,41.4,16984.0,10797.0,44017591.0,0.5,105599.0,7.37,12.0,16.6,,2.5,82.43,929.0,,,,
