index,n_pico,location,peak_date,peak_magnitude,peak_magnitude_norm,bins_fd,bins_sturges,bins_scott,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
40,7,Algeria,2021-07-28,1380.83626720159,0.309489172758512,1,1,1,49.51,4.0,3002594.0,642284.0,DZA,Africa,167131,1446571,4161,23857,3745935.0,43.19,32422.0,93261.0,1098.0,535.0,1.2,36.0,807.0,,,,,,,,,,,,,,,,,,,,,22369.0,,,,,501.0,18386.0,41.0,49.07,44616626,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,1.9,76.88,748.0,,,,
41,8,Algeria,2022-01-25,1715.50898010183,0.384499935091871,2,1,1,42.17,12.0,7335244.0,5906889.0,DZA,Africa,241406,1978143,6516,11571,5410674.0,56504.0,44336.0,146044.0,179.0,259.0,1.57,44.0,986.0,,,,,,,,,,,,,,,,,,,,,16222.0,,,,,364.0,5204.0,12.0,65.74,44616626,17348.0,29.1,6211.0,3857.0,13913839.0,0.5,278364.0,6.73,0.7,30.4,83741.0,1.9,76.88,748.0,,,,
46,3,Andorra,2020-10-23,95.9232001243408,12.4005481454535,17,4,6,57.47,-23.0,,,AND,Europe,4038,94429,69,1429,52201567.0,2934561.0,1220733.0,892003.0,77565.0,18468.0,1.23,,,,,,,,,,,,,1162.0,15022.0,0.0813,12.3,tests performed,,,,,,,,,,,,,,59.26,77354,163755.0,,,,,,109135.0,7.97,29.0,37.8,,,83.73,868.0,,,,
53,10,Andorra,2022-01-10,423.892022638769,54.7989790623328,31,9,12,49.61,-23.0,57602.0,52573.0,AND,Europe,27983,497286,141,143,361752463.0,20360938.0,6428701.0,1822789.0,0.0,1847.0,1.14,,,,,,,,,281100.0,,3633943.0,,853.0,11027.0,583.0,1.7,tests performed,,,,,,865.0,,,,,11182.0,27.0,35.0,44.44,77354,163755.0,,,,,,109135.0,7.97,29.0,37.8,,,83.73,868.0,,,,
58,15,Andorra,2022-05-15,62.0458992426625,8.0210330742641,12,3,5,39.7,-7.0,57968.0,54490.0,AND,Europe,42156,62714,153,0,544975.05,0.0,810744.0,1977.92,0.0,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,181.0,0.0,0.0,8.33,77354,163755.0,,,,,,109135.0,7.97,29.0,37.8,,,83.73,868.0,,,,
63,5,Angola,2020-10-27,239.67526650096,0.0706306400756937,1,1,1,78.38,-13.0,,,AGO,Africa,9871,260286,271,2857,290892.0,6.69,7.67,7986.0,29.0,84.0,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,33933611,23.89,16.8,2405.0,1362.0,5819495.0,,276045.0,3.94,,,26664.0,,61.15,581.0,,,,
67,9,Angola,2021-05-19,270.195614558074,0.079624775140516,1,1,1,80.01,2.0,614519.0,92327.0,AGO,Africa,31438,290429,696,7286,926456.0,11581.0,8559.0,20511.0,324.0,215.0,1.05,,,,,,,,,,,,,,,,,,,,,,,11468.0,,,,,338.0,4020.0,12.0,33.33,33933611,23.89,16.8,2405.0,1362.0,5819495.0,,276045.0,3.94,,,26664.0,,61.15,581.0,,,,
69,11,Angola,2021-09-30,464.223472241279,0.136803440176549,1,1,1,72.78,30.0,2410995.0,1074811.0,AGO,Africa,56583,391857,1537,11,1667462.0,0.0,11548.0,45294.0,0.0,324.0,1.21,,,,,,,,,,,,,,,,,,,,,,,64012.0,,,,,1886.0,52870.0,156.0,63.89,33933611,23.89,16.8,2405.0,1362.0,5819495.0,,276045.0,3.94,,,26664.0,,61.15,581.0,,,,
70,12,Angola,2021-12-30,1271.02888252344,0.374563403382988,2,1,1,65.54,85.0,7723572.0,3929727.0,AGO,Africa,79871,1644143,1764,3,2353743.0,41139.0,48452.0,51984.0,118.0,88.0,2.0,,,,,,,,,,,,,,,,,,11615144.0,7685417.0,3929727.0,,,64318.0,34.23,22.65,11.58,,1895.0,37393.0,0.11,73.15,33933611,23.89,16.8,2405.0,1362.0,5819495.0,,276045.0,3.94,,,26664.0,,61.15,581.0,,,,
108,1,Argentina,2020-10-18,14042.732735267,3.07915345267796,6,2,3,88.29,-35.0,,,ARG,South America,989680,13639143,26267,342714,21700738.0,231571.0,299066.0,575957.0,3508.0,7515.0,1.06,4387.0,96194.0,,,,,,,2942097.0,17678.0,64511.0,388.0,31992.0,701.0,391.0,2.6,tests performed,,,,,,,,,,,,,,82.87,45605823,16177.0,31.9,11198.0,7441.0,18933907.0,0.6,191032.0,5.5,16.2,27.7,,5.0,76.67,845.0,,,,
