1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Burkina Faso - peak Nº1,Central African Republic - peak Nº1,Gabon - peak Nº3,Eswatini - peak Nº1,South Africa - peak Nº2,Turkey - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso - peak Nº2,Cuba - peak Nº3,Gabon - peak Nº4,India - peak Nº3,,United States - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia - peak Nº3,Djibouti - peak Nº3,Indonesia - peak Nº2,Indonesia - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon - peak Nº2,Djibouti - peak Nº4,Iran - peak Nº1,Jamaica - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon - peak Nº3,Gabon - peak Nº1,Jamaica - peak Nº5,Japan - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic - peak Nº2,Gabon - peak Nº2,Malaysia - peak Nº1,Morocco - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad - peak Nº1,Gambia - peak Nº1,Mexico - peak Nº1,Russia - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad - peak Nº2,Gambia - peak Nº3,Mexico - peak Nº2,South Africa - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad - peak Nº3,India - peak Nº1,Morocco - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China - peak Nº1,Indonesia - peak Nº1,South Africa - peak Nº5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China - peak Nº2,Jamaica - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo - peak Nº1,Kenya - peak Nº5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo - peak Nº3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire - peak Nº1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire - peak Nº2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
