index,n_pico,location,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
168,10,Austria,2022-03-17,43137.3682054246,30.5,-6,6816595,6407600,AUT,Europe,3316853,45726857,18418,28143,366783876,7081443,5056562,2036697,3.76,3112,1.16,207,22.89,3073,339818,,,,,169094014,768595,18698736,84993,602443,66619,0.0759,13.2,tests performed,,,,,,3434,,,,,380,280,3,,9043072,106749,44.4,19202,13748,45436686,0.7,145183,6.35,28.4,30.9,,7.37,81.54,922,,,,
171,2,Azerbaijan,2020-07-03,542.544089379668,60.11,-19,,,AZE,Asia,19267,556857,235,6857,1884608,57026,54469,22987,685,671,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
173,4,Azerbaijan,2020-12-08,4070.77853858268,81.14,-21,0,0,AZE,Asia,154152,4078571,1713,40,15078432,429116,398947,167558,3717,3913,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.54,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
174,5,Azerbaijan,2021-04-09,2134.07650359483,74.69,-9,706433,405289,AZE,Asia,281387,2152143,3846,32714,27523969,215781,210513,376198,3424,3.2,1.15,,,,,,,,,,,,,,,,,,1111722,706433,405289,,42234,31813,10.87,6.91,3.96,,3112,19491,191,72.22,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
175,6,Azerbaijan,2021-08-27,3599.36873605871,45.11,-9,3954040,2564353,AZE,Asia,409745,3551286,5469,31,40079352,411118,347.37,534952,3424,3032,1.18,,,,,,,,,4395646,16136,429962,1578,18140,1774,0.1958,5.1,tests performed,6493757,3929404,2564353,,74220,64041,63.52,38.44,25.08,,6264,44600,436,61.11,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
176,7,Azerbaijan,2021-11-02,2145.56070539122,49.6,-4,5020170,4414295,AZE,Asia,534748,2097143,7132,27571,52306564,213042,205133,697619,3032,2697,1.08,,,,,,,,,5214586,11889,510067,1163,11936,1168,0.1757,5.7,tests performed,9708264,,4414295,,47133,40480,94.96,,43.18,,3960,330,3,76.85,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
177,8,Azerbaijan,2022-02-08,6092.36293915436,57.57,-6,5276671,4754599,AZE,Asia,710366,6667571,8920,23571,69484701,687838,652191,872513,2152,2306,1.34,,,,,,,,,,,,,19273,1885,346,2.9,tests performed,12261740,5252035,4754599,2255106,43126,31802,119.94,51.37,46.51,22.06,3111,2620,26,79.63,10223344,119309,32.4,6018,3871,15847419,,559812,7.11,0.3,42.5,83241,4.7,73,756,,,,
182,4,Bahamas,2020-10-16,95.9283971814465,44.89,-56,,,BHS,North America,5517,114857,114,1714,13899736,332566,289375,287216,5039,4319,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.76,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
187,9,Bahamas,2021-04-26,57.7021102723233,66.25,-24,25151,3804,BHS,North America,10220,61286,198,571,25748651,428304,154406,498849,5039,1.44,1.25,,,,,,,,,,,,,,,,,,,,,,,573,,,,,1444,573,144,59.72,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
189,11,Bahamas,2021-08-22,118.453211307728,71.52,-17,74271,55291,BHS,North America,16962,117286,330,2714,42734698,0,295494,831414,0,6838,1.15,,,,,,,,,,,,,,,,,,129017,73726,55291,,,1950,32.51,18.57,13.93,,4913,1126,284,55.56,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
192,14,Bahamas,2022-01-08,390.52542125912,46.67,-12,159027,149486,BHS,North America,27122,378,717,0,68332183,0,952347,1806437,0,0,1.31,,,,,,,,,,,,,1095,2759,0.3452,2.9,tests performed,,,,,,634,,,,,1597,99,25,48.15,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
193,15,Bahamas,2022-05-28,55.2336975725615,40.39,6,166781,156774,BHS,North America,34572,51429,810,0,87101992,0,129571,2040744,0,0,1.19,,,,,,,,,,,,,237,597,217,4.6,tests performed,,,,,,,,,,,,,,44.44,396914,39497,34.3,8996,5.2,27717847,,235954,13.17,3.1,20.4,,2.9,73.92,814,,,,
196,3,Bahrain,2020-09-14,681.708039531633,59.56,-20,,,BHR,Asia,60965,698429,213,1857,34871117,376367,399491,121833,572,1062,1.14,,,,,,,,,1252898,,716.64,,9862,5641,0.0708,14.1,units unclear,,,,,,,,,,,,,,60.19,1748295,1935907,32.4,2372,1387,43290705,,151689,16.52,5.8,37.6,,2,77.29,852,,,,
199,6,Bahrain,2021-05-25,2582.86027566259,72.69,-16,890450,732710,BHR,Asia,223613,2727,866,14429,127903472,1582113,1559805,495.34,10296,8253,1.21,,,,,,,,,4509481,19951,2579359,11412,19352,11069,0.1409,7.1,units unclear,1621198,888488,732710,,19516,16332,92.73,50.82,41.91,,9342,4708,269,53.7,1748295,1935907,32.4,2372,1387,43290705,,151689,16.52,5.8,37.6,,2,77.29,852,,,,
202,9,Bahrain,2022-02-04,6749.31830517653,65.71,-5,1227732,1154068,BHR,Asia,405938,7232,1410,1,232190792,4160053,4136602,806.5,0,572,1.26,,,,,,,,,8873645,33630,5075599,19236,29655,16962,0.2439,4.1,units unclear,3365901,1225770,1195535,944596,1308,2429,192.52,70.11,68.38,54.03,1389,591,34,50.93,1748295,1935907,32.4,2372,1387,43290705,,151689,16.52,5.8,37.6,,2,77.29,852,,,,
205,1,Bangladesh,2020-06-26,3601.34326076477,68.04,-48,,,BGD,Asia,130474,3562714,1661,39,784554,23259,21423,9988,241,235,1.09,,,,,,,,,697777,18498,4196,111,16342,98,218,4.6,tests performed,,,,,,,,,,,,,,74.54,166303494,1265036,27.5,5098,3262,3523984,14.8,298003,8.38,1,44.7,34808,0.8,72.59,632,,,,
208,4,Bangladesh,2021-04-07,6242.13969640929,65.07,-24,5568703,80178,BGD,Asia,659278,6854714,9447,57286,3964306,45856,41218,56806,379,344,1.26,,,,,,,,,4883900,34630,29367,208,30355,183,0.2258,4.4,tests performed,5568703,5568703,,,,28325,3.35,3.35,,,170,28325,17,83.33,166303494,1265036,27.5,5098,3262,3523984,14.8,298003,8.38,1,44.7,34808,0.8,72.59,632,,,,
210,6,Bangladesh,2021-08-01,12854.4998366813,65.01,-39,8803650,4338165,BGD,Asia,1264328,14241857,20916,234571,7602534,89258,85638,125.77,1389,1411,1.15,,,,,,,,,7791758,49529,46853,298,47877,288,0.2975,3.4,tests performed,13141815,8803650,4338165,,292550,396478,7.9,5.29,2.61,,2384,389620,234,93.52,166303494,1265036,27.5,5098,3262,3523984,14.8,298003,8.38,1,44.7,34808,0.8,72.59,632,,,,
211,7,Bangladesh,2022-01-28,12403.4337575573,52.1,28,97841338,60963557,BGD,Asia,1762771,14022143,28308,16571,10599723,92842,84317,170219,0.12,0.1,1.35,,,,,,,,,12358300,46268,74312,278,44176,266,0.3174,3.2,tests performed,,,,,,890031,,,,,5352,435334,262,68.52,166303494,1265036,27.5,5098,3262,3523984,14.8,298003,8.38,1,44.7,34808,0.8,72.59,632,,,,
225,12,Barbados,2021-02-16,73.4376687070377,29,-75,6683,221,BRB,North America,2331,73857,25,714,8101964,218972,256709,86894,3476,2483,1.19,,,,,,,,,,,,,,,,,,6683,6683,,,2193,2193,2.32,2.32,,,7622,2193,762,74.07,287708,664463,39.8,14952,9473,16978068,,170.05,13.57,1.9,14.5,88469,5.8,79.19,814,,,,
229,16,Barbados,2021-10-27,342.093678168596,57.69,-14,148451,124043,BRB,North America,16424,355714,149,3714,57085656,1359017,1236373,517886,20854,12.91,1.07,,,,,,,,,,,,,,,,,,272021,147978,124043,,1102,960,94.55,51.43,43.11,,3337,267,93,67.59,287708,664463,39.8,14952,9473,16978068,,170.05,13.57,1.9,14.5,88469,5.8,79.19,814,,,,
230,17,Barbados,2022-01-28,635.10935433851,57.69,-2,159002,146993,BRB,North America,42851,668571,277,429,148939202,2533819,2323785,962782,0,1.49,1.1,,,,,,,,,,,,,,,,,,,,,,,193,,,,,671,96,33,62.04,287708,664463,39.8,14952,9473,16978068,,170.05,13.57,1.9,14.5,88469,5.8,79.19,814,,,,
231,18,Barbados,2022-05-07,438.192229185361,57.69,2,162176,152234,BRB,North America,73198,445429,405,1571,254417673,1581465,1548197,1407677,6951,5462,1.03,,,,,,,,,659902,,2293652,,1373,4772,0.3244,3.1,tests performed,314065,161885,152180,,25,48,109.16,56.27,52.89,,167,20,7,43.52,287708,664463,39.8,14952,9473,16978068,,170.05,13.57,1.9,14.5,88469,5.8,79.19,814,,,,
