n_pico,location,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,reproduction_rate,hosp_patients,total_tests,new_tests,positive_rate,tests_per_case,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,life_expectancy,human_development_index
13,Australia,90536.6174650261,59.31,-24.0,20942117.0,19685590.0,1.54,4197.0,57850394.0,288897.0,0.264,3.8,40.28,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,83.44,0.944
14,Australia,55766.6650605979,22.37,-11.0,22304774.0,20966488.0,1.09,2533.0,66546212.0,129771.0,0.187,5.3,48.61,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,83.44,0.944
15,Australia,48877.6102535022,20.17,-6.0,22304774.0,20966488.0,1.09,2988.0,70522263.0,88971.0,0.199,5.0,43.06,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,83.44,0.944
4,Austria,6573.32398672564,58.28,-31.0,,,1.22,3811.0,2575405.0,38226.0,,,75.0,9043072,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,,81.54,922.0
6,Austria,3078.47366439882,52.21,-28.0,1191356.0,440147.0,1.07,2164.0,22051094.0,485632.0,0.01,100.2,73.15,9043072,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,,81.54,922.0
8,Austria,12802.316831058,43.74,-14.0,6327506.0,5823533.0,1.23,2872.0,106308001.0,430547.0,0.0279,35.8,59.26,9043072,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,,81.54,922.0
10,Austria,43137.3682054246,30.5,-6.0,6816595.0,6407600.0,1.16,3073.0,169094014.0,768595.0,0.0759,13.2,,9043072,106749.0,44.4,19202.0,13748.0,45436686.0,0.7,145183.0,6.35,28.4,30.9,,81.54,922.0
2,Azerbaijan,542.544089379668,60.11,-19.0,,,1.08,,,,,,96.3,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
4,Azerbaijan,4070.77853858268,81.14,-21.0,0.0,0.0,1.1,,,,,,74.54,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
5,Azerbaijan,2134.07650359483,74.69,-9.0,706433.0,405289.0,1.15,,,,,,72.22,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
6,Azerbaijan,3599.36873605871,45.11,-9.0,3954040.0,2564353.0,1.18,,4395646.0,16136.0,0.1958,5.1,61.11,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
7,Azerbaijan,2145.56070539122,49.6,-4.0,5020170.0,4414295.0,1.08,,5214586.0,11889.0,0.1757,5.7,76.85,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
8,Azerbaijan,6092.36293915436,57.57,-6.0,5276671.0,4754599.0,1.34,,,,346.0,2.9,79.63,10223344,119309.0,32.4,6018.0,3871.0,15847419.0,,559812.0,7.11,0.3,42.5,83241.0,73.0,756.0
4,Bahamas,95.9283971814465,44.89,-56.0,,,1.05,,,,,,71.76,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,73.92,814.0
9,Bahamas,57.7021102723233,66.25,-24.0,25151.0,3804.0,1.25,,,,,,59.72,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,73.92,814.0
11,Bahamas,118.453211307728,71.52,-17.0,74271.0,55291.0,1.15,,,,,,55.56,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,73.92,814.0
14,Bahamas,390.52542125912,46.67,-12.0,159027.0,149486.0,1.31,,,,0.3452,2.9,48.15,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,73.92,814.0
15,Bahamas,55.2336975725615,40.39,6.0,166781.0,156774.0,1.19,,,,217.0,4.6,44.44,396914,39497.0,34.3,8996.0,5.2,27717847.0,,235954.0,13.17,3.1,20.4,,73.92,814.0
3,Bahrain,681.708039531633,59.56,-20.0,,,1.14,,1252898.0,,0.0708,14.1,60.19,1748295,1935907.0,32.4,2372.0,1387.0,43290705.0,,151689.0,16.52,5.8,37.6,,77.29,852.0
6,Bahrain,2582.86027566259,72.69,-16.0,890450.0,732710.0,1.21,,4509481.0,19951.0,0.1409,7.1,53.7,1748295,1935907.0,32.4,2372.0,1387.0,43290705.0,,151689.0,16.52,5.8,37.6,,77.29,852.0
9,Bahrain,6749.31830517653,65.71,-5.0,1227732.0,1154068.0,1.26,,8873645.0,33630.0,0.2439,4.1,50.93,1748295,1935907.0,32.4,2372.0,1387.0,43290705.0,,151689.0,16.52,5.8,37.6,,77.29,852.0
1,Bangladesh,3601.34326076477,68.04,-48.0,,,1.09,,697777.0,18498.0,218.0,4.6,74.54,166303494,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,72.59,632.0
4,Bangladesh,6242.13969640929,65.07,-24.0,5568703.0,80178.0,1.26,,4883900.0,34630.0,0.2258,4.4,83.33,166303494,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,72.59,632.0
6,Bangladesh,12854.4998366813,65.01,-39.0,8803650.0,4338165.0,1.15,,7791758.0,49529.0,0.2975,3.4,93.52,166303494,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,72.59,632.0
7,Bangladesh,12403.4337575573,52.1,28.0,97841338.0,60963557.0,1.35,,12358300.0,46268.0,0.3174,3.2,68.52,166303494,1265036.0,27.5,5098.0,3262.0,3523984.0,14.8,298003.0,8.38,1.0,44.7,34808.0,72.59,632.0
12,Barbados,73.4376687070377,29.0,-75.0,6683.0,221.0,1.19,,,,,,74.07,287708,664463.0,39.8,14952.0,9473.0,16978068.0,,170.05,13.57,1.9,14.5,88469.0,79.19,814.0
16,Barbados,342.093678168596,57.69,-14.0,148451.0,124043.0,1.07,,,,,,67.59,287708,664463.0,39.8,14952.0,9473.0,16978068.0,,170.05,13.57,1.9,14.5,88469.0,79.19,814.0
17,Barbados,635.10935433851,57.69,-2.0,159002.0,146993.0,1.1,,,,,,62.04,287708,664463.0,39.8,14952.0,9473.0,16978068.0,,170.05,13.57,1.9,14.5,88469.0,79.19,814.0
18,Barbados,438.192229185361,57.69,2.0,162176.0,152234.0,1.03,,659902.0,,0.3244,3.1,43.52,287708,664463.0,39.8,14952.0,9473.0,16978068.0,,170.05,13.57,1.9,14.5,88469.0,79.19,814.0
2,Belarus,1895.50198714578,68.93,-15.0,0.0,0.0,1.02,,,,0.0817,12.2,37.04,9442867,46858.0,40.3,14799.0,9788.0,17167967.0,,443129.0,5.18,10.5,46.1,,74.79,823.0
8,Belarus,2024.03210275602,70.02,-11.0,2656545.0,1904108.0,1.01,,,,0.0577,17.3,19.44,9442867,46858.0,40.3,14799.0,9788.0,17167967.0,,443129.0,5.18,10.5,46.1,,74.79,823.0
9,Belarus,7267.18270812817,46.67,-15.0,5465447.0,4497626.0,1.28,,,,0.2739,3.7,23.15,9442867,46858.0,40.3,14799.0,9788.0,17167967.0,,443129.0,5.18,10.5,46.1,,74.79,823.0
4,Belgium,14769.2436557654,72.32,-37.0,,,1.24,5548.0,4749745.0,71476.0,269.0,3.7,54.63,11632334,375564.0,41.8,18571.0,12849.0,42658576.0,0.2,114898.0,4.29,25.1,31.4,,81.63,931.0
12,Belgium,10331.2279261678,12.41,-10.0,9268961.0,8712824.0,1.17,2590.0,32580324.0,47660.0,302.0,3.3,23.15,11632334,375564.0,41.8,18571.0,12849.0,42658576.0,0.2,114898.0,4.29,25.1,31.4,,81.63,931.0
7,Belize,234.0197099605,,,,,0.86,,,,,,72.22,404915,16426.0,25.0,3853.0,2279.0,7824362.0,,176957.0,17.11,,,90083.0,74.62,716.0
12,Belize,235.937636528997,53.98,-11.0,211549.0,157364.0,1.2,,,,0.1644,6.1,70.37,404915,16426.0,25.0,3853.0,2279.0,7824362.0,,176957.0,17.11,,,90083.0,74.62,716.0
13,Belize,704.418831803561,64.64,-2.0,231999.0,201830.0,1.31,,,,0.2582,3.9,72.22,404915,16426.0,25.0,3853.0,2279.0,7824362.0,,176957.0,17.11,,,90083.0,74.62,716.0
11,Benin,75.4060625856816,54.64,-21.0,0.0,0.0,0.8,,,,,,30.56,12451031,99.11,18.8,3244.0,1942.0,2064236.0,49.6,235848.0,0.99,0.6,12.3,11035.0,61.77,545.0
15,Benin,447.444042387586,52.57,1.0,128417.0,94718.0,0.49,,,,,,44.44,12451031,99.11,18.8,3244.0,1942.0,2064236.0,49.6,235848.0,0.99,0.6,12.3,11035.0,61.77,545.0
2,Bolivia,1502.40201179538,83.71,-54.0,,,1.02,,154047.0,3519.0,0.5453,1.8,89.81,11832936,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,,,25383.0,71.51,718.0
4,Bolivia,2067.32846493747,82.23,-32.0,0.0,0.0,1.1,,513870.0,3628.0,0.4008,2.5,30.56,11832936,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,,,25383.0,71.51,718.0
6,Bolivia,2762.86748354366,81.48,-14.0,1271262.0,345396.0,1.11,2361.0,1452301.0,14325.0,252.0,4.0,27.78,11832936,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,,,25383.0,71.51,718.0
8,Bolivia,9759.9874117077,73.48,7.0,6406691.0,4903383.0,1.19,1825.0,3355066.0,29723.0,0.4633,2.2,29.63,11832936,10202.0,25.4,6704.0,4393.0,6885829.0,7.1,204299.0,6.89,,,25383.0,71.51,718.0
6,Bosnia and Herzegovina,1516.86440902296,47.53,-16.0,,,1.21,,327103.0,4456.0,0.4531,2.2,42.59,3263459,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,77.4,0.78
7,Bosnia and Herzegovina,1530.86173278141,45.86,-30.0,0.0,10000.0,1.17,,,,0.3301,3.0,42.59,3263459,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,77.4,0.78
10,Bosnia and Herzegovina,2226.66730941796,23.98,-22.0,935118.0,831493.0,1.31,,,,,,35.19,3263459,68496.0,42.5,16569.0,10711.0,11713895.0,0.2,329635.0,10.08,30.2,47.7,97164.0,77.4,0.78
15,Botswana,2032.55780329624,71.42,31.0,243894.0,132466.0,1.26,,1542739.0,,0.5721,1.7,53.7,2397240,4044.0,25.8,3941.0,2242.0,15807374.0,,237372.0,4.81,5.7,34.4,,69.59,735.0
20,Botswana,3065.13770137078,59.99,77.0,1461583.0,1323270.0,0.17,,,,,,13.89,2397240,4044.0,25.8,3941.0,2242.0,15807374.0,,237372.0,4.81,5.7,34.4,,69.59,735.0
2,Brazil,44610.22865837,70.11,-30.0,,,1.07,,,,,,72.69,213993441,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,,75.88,765.0
6,Brazil,74347.5380192655,68.11,-40.0,12314847.0,4252255.0,1.06,,38533309.0,118714.0,,,70.83,213993441,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,,75.88,765.0
12,Brazil,174802.006990527,59.28,0.0,169844640.0,149779557.0,1.29,,,,,,61.57,213993441,25.04,33.5,8552.0,5.06,14103452.0,3.4,177961.0,8.11,10.1,17.9,,75.88,765.0
4,Bulgaria,3276.92141151099,56.81,-19.0,,,1.12,5166.0,853900.0,6450.0,0.3809,2.6,48.15,6896655,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,,75.05,816.0
5,Bulgaria,3553.40539959662,57.11,-27.0,321332.0,79977.0,1.13,8927.0,,,232.0,4.3,61.11,6896655,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,,75.05,816.0
7,Bulgaria,4481.83796110221,47.06,-8.0,1662785.0,1491628.0,1.17,7373.0,,,0.1373,7.3,50.0,6896655,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,,75.05,816.0
8,Bulgaria,8470.22188519604,46.8,-17.0,2205988.0,1980511.0,1.17,5327.0,,,0.2887,3.5,50.0,6896655,65.18,44.7,20801.0,13272.0,18563307.0,1.5,424688.0,5.81,30.1,44.4,,75.05,816.0
7,Burkina Faso,159.1235454615,33.52,13.0,0.0,0.0,1.33,,,,,,13.89,21497097,70151.0,17.6,2409.0,1358.0,1703102.0,43.7,269048.0,2.42,1.6,23.9,11877.0,61.58,452.0
16,Burkina Faso,166.885118324119,14.16,39.0,1185689.0,736162.0,0.39,,,,,,13.89,21497097,70151.0,17.6,2409.0,1358.0,1703102.0,43.7,269048.0,2.42,1.6,23.9,11877.0,61.58,452.0
14,Cambodia,645.895312084493,79.8,-34.0,2688014.0,2094573.0,1.09,,1173413.0,5785.0,0.1043,9.6,66.2,16946446,90672.0,25.6,4412.0,2385.0,3645.07,,270892.0,4.0,2.0,33.7,66229.0,69.82,594.0
16,Cambodia,688.1121532209,77.04,-35.0,12702596.0,10624382.0,1.02,,,,0.1887,5.3,69.44,16946446,90672.0,25.6,4412.0,2385.0,3645.07,,270892.0,4.0,2.0,33.7,66229.0,69.82,594.0
17,Cambodia,456.037483167242,62.43,-16.0,14437616.0,13571359.0,1.37,,2846617.0,2334.0,0.1761,5.7,29.63,16946446,90672.0,25.6,4412.0,2385.0,3645.07,,270892.0,4.0,2.0,33.7,66229.0,69.82,594.0
13,Cameroon,1155.73427738442,31.6,2.0,0.0,0.0,0.39,,,,,,35.19,27224262,50885.0,18.8,3165.0,1919.0,3364926.0,23.8,244661.0,7.2,,,2735.0,59.29,563.0
18,Cameroon,644.99039515848,25.88,20.0,386982.0,84408.0,0.54,,,,,,38.89,27224262,50885.0,18.8,3165.0,1919.0,3364926.0,23.8,244661.0,7.2,,,2735.0,59.29,563.0
21,Cameroon,373.642614896854,23.74,33.0,903977.0,697097.0,0.43,,,,,,30.56,27224262,50885.0,18.8,3165.0,1919.0,3364926.0,23.8,244661.0,7.2,,,2735.0,59.29,563.0
5,Canada,7685.57505922581,84.92,-48.0,156677.0,6.0,1.07,4457.0,18514140.0,83429.0,0.0739,13.5,72.69,38067913,4037.0,41.4,16984.0,10797.0,44017591.0,0.5,105599.0,7.37,12.0,16.6,,82.43,929.0
6,Canada,8474.58761716146,80.28,-33.0,8402488.0,900049.0,1.11,3766.0,29498439.0,133832.0,0.0674,14.8,75.46,38067913,4037.0,41.4,16984.0,10797.0,44017591.0,0.5,105599.0,7.37,12.0,16.6,,82.43,929.0
7,Canada,4315.08457239027,65.7,-15.0,28678189.0,26352475.0,1.1,2126.0,41973569.0,112092.0,0.0478,20.9,72.69,38067913,4037.0,41.4,16984.0,10797.0,44017591.0,0.5,105599.0,7.37,12.0,16.6,,82.43,929.0
8,Canada,37423.188753957,79.61,-25.0,31889685.0,29467043.0,1.27,5083.0,53527515.0,137777.0,0.2451,4.1,78.24,38067913,4037.0,41.4,16984.0,10797.0,44017591.0,0.5,105599.0,7.37,12.0,16.6,,82.43,929.0
9,Canada,12291.9580058358,44.37,-19.0,33361793.0,31243831.0,0.86,5696.0,60251126.0,7471.0,0.3126,3.2,42.59,38067913,4037.0,41.4,16984.0,10797.0,44017591.0,0.5,105599.0,7.37,12.0,16.6,,82.43,929.0
6,Cape Verde,97.7391854462972,70.2,-43.0,,,1.07,,,561.0,0.2074,4.8,68.52,561901,135.58,25.7,4.46,3437.0,6222554.0,,182219.0,2.42,2.1,16.5,,72.98,665.0
9,Cape Verde,284.08330226837,61.5,-40.0,14618.0,2015.0,1.11,,,,,,59.26,561901,135.58,25.7,4.46,3437.0,6222554.0,,182219.0,2.42,2.1,16.5,,72.98,665.0
11,Cape Verde,823.861157219477,45.43,-9.0,317822.0,260298.0,1.83,,,,,,62.96,561901,135.58,25.7,4.46,3437.0,6222554.0,,182219.0,2.42,2.1,16.5,,72.98,665.0
15,Central African Republic,301.281890563091,70.19,12.0,95377.0,6700.0,0.12,,,,,,24.07,4919987,7479.0,18.3,3655.0,2251.0,661.24,,435727.0,6.1,,,16603.0,53.28,397.0
20,Central African Republic,79.7471935284496,70.28,20.0,619991.0,487076.0,0.51,,79140.0,,,,18.52,4919987,7479.0,18.3,3655.0,2251.0,661.24,,435727.0,6.1,,,16603.0,53.28,397.0
1,Chad,25.6034439003185,69.1,-23.0,,,1.12,,,,,,87.04,16914985,11833.0,16.7,2486.0,1446.0,1768153.0,38.4,280995.0,6.1,,,5818.0,54.24,398.0
7,Chad,48.087563126637,57.87,-5.0,0.0,0.0,1.18,,,,,,74.07,16914985,11833.0,16.7,2486.0,1446.0,1768153.0,38.4,280995.0,6.1,,,5818.0,54.24,398.0
17,Chad,43.9222189976722,25.16,29.0,195340.0,75584.0,0.04,,,,,,22.22,16914985,11833.0,16.7,2486.0,1446.0,1768153.0,38.4,280995.0,6.1,,,5818.0,54.24,398.0
1,Chile,6011.11009382631,93.15,-60.0,,,1.15,,700750.0,21265.0,0.3429,2.9,78.24,19212362,24282.0,35.4,11087.0,6938.0,22767037.0,1.3,127993.0,8.46,34.2,41.5,,80.18,851.0
5,Chile,7025.10977811723,94.08,-42.0,7428664.0,4662181.0,1.05,,11743832.0,77899.0,0.1224,8.2,81.94,19212362,24282.0,35.4,11087.0,6938.0,22767037.0,1.3,127993.0,8.46,34.2,41.5,,80.18,851.0
8,Chile,34325.4981112097,87.27,1.0,16869348.0,15857187.0,1.14,,30910518.0,129605.0,0.2829,3.5,30.09,19212362,24282.0,35.4,11087.0,6938.0,22767037.0,1.3,127993.0,8.46,34.2,41.5,,80.18,851.0
9,Chile,8579.65294101218,77.29,20.0,16869348.0,15857187.0,1.22,,38718740.0,50296.0,0.1368,7.3,27.31,19212362,24282.0,35.4,11087.0,6938.0,22767037.0,1.3,127993.0,8.46,34.2,41.5,,80.18,851.0
1,China,3470.62073504358,68.18,-80.0,,,1.37,,,,,,75.46,1444216102,147674.0,38.7,10641.0,5929.0,15308712.0,0.7,261899.0,9.74,1.9,48.4,,76.91,761.0
16,China,23408.0697595632,58.68,-60.0,1292981862.0,1215402950.0,1.13,,,,,,79.17,1444216102,147674.0,38.7,10641.0,5929.0,15308712.0,0.7,261899.0,9.74,1.9,48.4,,76.91,761.0
4,Colombia,16464.9601308007,87.22,-32.0,0.0,0.0,1.11,,8974305.0,86722.0,289.0,3.5,81.02,51265841,44223.0,32.2,7646.0,4312.0,13254949.0,4.5,124.24,7.44,4.7,13.5,65386.0,77.29,767.0
6,Colombia,29096.1936911612,83.26,3.0,10952297.0,5566656.0,1.06,,19238762.0,119377.0,331.0,3.0,59.26,51265841,44223.0,32.2,7646.0,4312.0,13254949.0,4.5,124.24,7.44,4.7,13.5,65386.0,77.29,767.0
8,Colombia,28375.0700060592,72.47,19.0,39380312.0,29932016.0,1.34,,30928838.0,55670.0,381.0,2.6,62.04,51265841,44223.0,32.2,7646.0,4312.0,13254949.0,4.5,124.24,7.44,4.7,13.5,65386.0,77.29,767.0
3,Congo,78.5394132425386,53.24,-20.0,,,0.79,,,,,,73.15,5657017,15405.0,19.0,3402.0,2063.0,4881406.0,37.0,344094.0,7.2,1.7,52.3,47964.0,64.57,574.0
19,Congo,125.382854325761,34.06,18.0,296728.0,120492.0,0.88,,,,,,35.19,5657017,15405.0,19.0,3402.0,2063.0,4881406.0,37.0,344094.0,7.2,1.7,52.3,47964.0,64.57,574.0
20,Congo,177.755494248631,34.73,21.0,632936.0,593287.0,0.62,,,,,,51.85,5657017,15405.0,19.0,3402.0,2063.0,4881406.0,37.0,344094.0,7.2,1.7,52.3,47964.0,64.57,574.0
10,Costa Rica,2301.8558812351,84.05,-24.0,3186909.0,1806341.0,1.07,,1805445.0,7947.0,0.27,3.7,54.63,5139053,96079.0,33.6,9468.0,5694.0,15524995.0,1.3,137973.0,8.78,6.4,17.4,83841.0,80.28,0.81
11,Costa Rica,5624.17673758383,78.34,-13.0,4059525.0,3672941.0,1.21,,2605386.0,10300.0,388.0,2.6,50.0,5139053,96079.0,33.6,9468.0,5694.0,15524995.0,1.3,137973.0,8.78,6.4,17.4,83841.0,80.28,0.81
