location,n_pico,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Guatemala,17,2022-02-21,"23,36389235","75,12",10,7137663,5550280,GTM,North America,758303,"3192,286",16794,"21,571","41551,15","39,178","174,921","920,226","0,384","1,182","0,96",,,,,,,,,3865611,15016,"211,816","0,823",11985,"0,657","0,2664","3,8",people tested,,,,,,31248,,,,,1712,7207,"0,039","61,57",18249868,"157,834","22,9","4,694","3,016","7423,808","8,7","155,898","10,18",,,"76,665","0,6","74,3","0,663",,,,
Guatemala,18,2022-05-23,"20,77352245","65,95",17,8499066,6447028,GTM,North America,856576,"569,286",17969,20,"46936,011","4,384","31,194","984,61","0,822","1,096","1,1",,,,,,,,,,,,,,,,,,,,,,,19797,,,,,1085,3802,"0,021","37,5",18249868,"157,834","22,9","4,694","3,016","7423,808","8,7","155,898","10,18",,,"76,665","0,6","74,3","0,663",,,,
Guinea,12,2021-03-27,"1,367366367","53,08",0,0,2652,GIN,Africa,19501,"134,143",116,"1,143","1444,814","7,261","9,939","8,594",0,"0,085","1,03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2799,"0,021","61,11",13497237,"51,755",19,"3,135","1,733","1998,926","35,3","336,717","2,42",,,"17,45","0,3","61,6","0,477",,,,
Guinea,16,2021-08-09,"4,229866564","48,75",18,590168,342847,GIN,Africa,26969,"150,714",260,4,"1998,113","9,039","11,166","19,263","0,222","0,296","1,14",,,,,,,,,,,,,,,,,,933015,590168,342847,,6815,3629,"6,91","4,37","2,54",,269,3207,"0,024","64,81",13497237,"51,755",19,"3,135","1,733","1998,926","35,3","336,717","2,42",,,"17,45","0,3","61,6","0,477",,,,
Guinea,20,2022-02-04,"1,244577393","44,41",36,3392333,1875293,GIN,Africa,36248,"33,571",426,"1,429","2685,587","3,112","2,487","31,562",0,"0,106","0,58",,,,,,,,,,,,,,,,,,,,,,,5892,,,,,437,254,"0,002","60,19",13497237,"51,755",19,"3,135","1,733","1998,926","35,3","336,717","2,42",,,"17,45","0,3","61,6","0,477",,,,
Guinea-Bissau,3,2020-06-24,"0,5770979779","38,84",-14,,,GNB,Africa,1556,"9,143",19,"0,571","772,021",0,"4,536","9,427",0,"0,284","1,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490,"66,191","19,4","3,002","1,565","1548,675","67,1","382,474","2,42",,,"6,403",,"58,32","0,48",,,,
Guinea-Bissau,11,2021-03-26,"0,6802146336","58,92",0,0,0,GNB,Africa,3615,"11,286",61,"0,857","1793,609","3,969","5,599","30,266",0,"0,425","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015490,"66,191","19,4","3,002","1,565","1548,675","67,1","382,474","2,42",,,"6,403",,"58,32","0,48",,,,
Guinea-Bissau,16,2021-08-22,"1,903668661","58,92",16,28097,2949,GNB,Africa,5518,"56,429",103,"1,857","2737,796","10,915","27,997","51,104","1,985","0,921",1,,,,,,,,,,,,,,,,,,,,,,,44,,,,,22,0,0,,2015490,"66,191","19,4","3,002","1,565","1548,675","67,1","382,474","2,42",,,"6,403",,"58,32","0,48",,,,
Guinea-Bissau,22,2022-02-13,"0,5772145474","58,92",36,498454,330085,GNB,Africa,7849,"11,286",162,"0,571","3894,338",0,"5,599","80,377","0,496","0,284","0,83",,,,,,,,,,,,,,,,,,,,,,,9601,,,,,4764,8686,"0,431",,2015490,"66,191","19,4","3,002","1,565","1548,675","67,1","382,474","2,42",,,"6,403",,"58,32","0,48",,,,
Guyana,6,2020-10-05,"1,879635915","54,01",-30,,,GUY,South America,3188,"57,286",90,"1,714","4033,763","120,203","72,483","113,877","3,796","2,169","1,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,56",790329,"3,952","26,3","5,305","2,837","7435,047",,"373,159","11,62",,,"77,159","1,6","69,91","0,682",,,,
Guyana,15,2021-05-29,"3,504821242","48,39",-17,198845,64579,GUY,South America,16822,"115,429",382,"3,857","21284,807","123,999","146,051","483,343","2,531","4,88","0,98",,,,,,,,,,,,,955,"1,208","0,1209","8,3",tests performed,,,,,,4150,,,,,5251,2011,"0,254","60,19",790329,"3,952","26,3","5,305","2,837","7435,047",,"373,159","11,62",,,"77,159","1,6","69,91","0,682",,,,
Guyana,17,2021-09-17,"5,988720686","48,39",-13,346136,177300,GUY,South America,29072,253,706,"6,714","36784,681","304,936","320,12","893,299","3,796","8,496","1,12",,,,,,,,,,,,,955,"1,208","0,2649","3,8",tests performed,,,,,,2295,,,,,2904,1643,"0,208","78,7",790329,"3,952","26,3","5,305","2,837","7435,047",,"373,159","11,62",,,"77,159","1,6","69,91","0,682",,,,
Guyana,21,2022-01-21,"5,217729979","48,39",-3,422813,306831,GUY,South America,55628,"938,857",1122,"5,857","70385,877","1128,644","1187,932","1419,662","13,918","7,411","1,07",,,,,,,,,442695,,"560,14",,2771,"3,506","0,3388",3,tests performed,757464,419509,306831,31124,,1798,"95,84","53,08","38,82","3,94",2275,359,"0,045","77,78",790329,"3,952","26,3","5,305","2,837","7435,047",,"373,159","11,62",,,"77,159","1,6","69,91","0,682",,,,
Haiti,12,2021-06-29,"5,42187961","61,7",-10,0,0,HTI,North America,18341,"182,857",415,"6,571","1589,11","11,177","15,843","35,957","0,173","0,569","1,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,93",11541683,"398,448","24,3","4,8","2,954","1653,173","23,5","430,548","6,65","2,9","23,1","22,863","0,7",64,"0,51",,,,
Haiti,19,2022-02-01,"6,956807356","40,87",18,144489,94505,HTI,North America,29323,"108,857",876,"13,286","2540,617","9,184","9,432","75,899","7,798","1,151","0,84",,,,,,,,,,,,,468,"0,041","0,2326","4,3",tests performed,,,,,,1665,,,,,144,1221,"0,011","43,52",11541683,"398,448","24,3","4,8","2,954","1653,173","23,5","430,548","6,65","2,9","23,1","22,863","0,7",64,"0,51",,,,
Honduras,3,2020-07-26,"31,64245219","84,27",-47,,,HND,North America,39276,"777,286",1116,"30,857","3903,013","83,275","77,242","110,901","1,789","3,066","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,3",10062994,"82,805","24,9","4,652","2,883","4541,795",16,"240,208","7,21",2,,"84,169","0,7","75,27","0,634",,,,
Honduras,13,2021-05-09,"43,6198462","84,28",-15,99615,5179,HND,North America,219288,"874,429",5617,"42,714","21791,526",0,"86,895","558,184",0,"4,245","1,05",,,,,,,,,,,,,,,,,,,,,,,1572,,,,,156,1487,"0,015","78,7",10062994,"82,805","24,9","4,652","2,883","4541,795",16,"240,208","7,21",2,,"84,169","0,7","75,27","0,634",,,,
