location,n_pico,peak_date,peak_magnitude,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
Afghanistan,2,2020-07-10,"21,34257349","34,2",-10,,,AFG,Asia,34280,"267,143",975,"21,714","860,541","13,581","6,706","24,476","0,854","0,545","0,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,7",39835428,"54,422","18,6","2,581","1,337","1803,987",,"597,029","9,59",,,"37,746","0,5","64,83","0,511",,,,
Afghanistan,5,2020-12-06,"14,47907881","33,32",12,0,0,AFG,Asia,47641,"239,286",1865,"16,143","1195,945","6,351","6,007","46,818","0,452","0,405","1,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,04",39835428,"54,422","18,6","2,581","1,337","1803,987",,"597,029","9,59",,,"37,746","0,5","64,83","0,511",,,,
Afghanistan,9,2021-06-22,"79,72856548","42,98",1,582128,183762,AFG,Asia,105749,"1782,429",4293,"87,143","2654,647","46,366","44,745","107,768","1,958","2,188","1,1",,,,,,,,,,,,,,,,,,765890,582128,183762,,,12986,"1,92","1,46","0,46",,326,12174,"0,031","46,3",39835428,"54,422","18,6","2,581","1,337","1803,987",,"597,029","9,59",,,"37,746","0,5","64,83","0,511",,,,
Albania,5,2020-08-03,"4,266454818","28,23",-12,,,ALB,Europe,5620,"105,714",172,4,"1956,188","35,156","36,797","59,869","2,088","1,392","1,12",,,,,,,,,38381,474,"13,36","0,165",496,"0,173","0,2131","4,7",tests performed,,,,,,,,,,,,,,"62,96",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Albania,7,2020-12-04,"14,69555931","61,27",-30,0,0,ALB,Europe,41302,"722,429",870,"14,143","14376,244","278,809","251,46","302,826","6,265","4,923","1,07",,,,,,,,,184710,1915,"64,293","0,667",1865,"0,649","0,3874","2,6",tests performed,,,,,,,,,,,,,,"65,74",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Albania,8,2021-03-02,"18,97416164","54,03",-24,15044,14141,ALB,Europe,108823,931,1835,"19,857","37878,698","310,484","324,059","638,72","6,613","6,912","0,9",,,,,,,,,450532,3369,"156,819","1,173",3589,"1,249","0,2594","3,9",tests performed,,,,,,1026,,,,,357,5575,"0,194","60,19",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Albania,9,2021-09-28,"9,490184483","19,57",1,943473,782578,ALB,Europe,168782,"643,714",2668,"10,571",58749,"206,757","224,062","928,667","5,221","3,68","0,87",,,,,,,,,1153676,4625,"401,567","1,61",4180,"1,455","0,154","6,5",tests performed,1723996,941418,782578,,8863,8344,"60,01","32,77","27,24",,2904,2521,"0,088","41,67",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Albania,12,2022-02-01,"5,558910707","23,26",-13,1252727,1156751,ALB,Europe,258543,"1383,429",3346,"4,857","89992,67",0,"481,539","1164,663",0,"1,691","0,85",,,,,,,,,,,,,2281,"0,794","0,6065","1,6",tests performed,2612804,1250672,1156751,205381,,16639,"90,95","43,53","40,26","7,15",5792,6816,"0,237","61,11",2872934,"104,871",38,"13,188","8,643","11803,431","1,1","304,195","10,08","7,1","51,2",,"2,89","78,57","0,795",,,,
Algeria,1,2020-04-08,"18,00318138","23,16",-54,,,DZA,Africa,1572,"103,571",205,21,"35,234","2,331","2,321","4,595","0,269","0,471","1,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"86,57",44616626,"17,348","29,1","6,211","3,857","13913,839","0,5","278,364","6,73","0,7","30,4","83,741","1,9","76,88","0,748",,,,
Algeria,5,2020-11-25,"18,06363359","47,46",-14,,,DZA,Africa,78025,"1056,571",2329,"17,571","1748,788","22,973","23,681","52,2","0,448","0,394","1,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,22",44616626,"17,348","29,1","6,211","3,857","13913,839","0,5","278,364","6,73","0,7","30,4","83,741","1,9","76,88","0,748",,,,
Algeria,8,2021-08-07,"35,5402268","58,7",5,3186456,678166,DZA,Africa,180356,"1280,571",4520,38,"4042,35","25,551","28,702","101,308","0,74","0,852","0,88",52,"1,165",,,,,,,,,,,,,,,,,,,,,22369,,,,,501,18386,"0,041","49,07",44616626,"17,348","29,1","6,211","3,857","13913,839","0,5","278,364","6,73","0,7","30,4","83,741","1,9","76,88","0,748",,,,
Algeria,12,2022-01-25,"11,17614866","42,17",12,7335244,5906889,DZA,Africa,241406,"1978,143",6516,"11,571","5410,674","56,504","44,336","146,044","0,179","0,259","1,57",44,"0,986",,,,,,,,,,,,,,,,,,,,,16222,,,,,364,5204,"0,012","65,74",44616626,"17,348","29,1","6,211","3,857","13913,839","0,5","278,364","6,73","0,7","30,4","83,741","1,9","76,88","0,748",,,,
Andorra,1,2020-04-03,"1,496153813","41,11",-63,,,AND,Europe,439,"24,571",16,"1,857","5675,207","142,203","317,649","206,841","12,928","24,008","0,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,15",77354,"163,755",,,,,,"109,135","7,97",29,"37,8",,,"83,73","0,868",,,,
Andorra,4,2020-10-23,"1,035948335","57,47",-23,,,AND,Europe,4038,"94,429",69,"1,429","52201,567","2934,561","1220,733","892,003","77,565","18,468","1,23",,,,,,,,,,,,,1162,"15,022","0,0813","12,3",tests performed,,,,,,,,,,,,,,"59,26",77354,"163,755",,,,,,"109,135","7,97",29,"37,8",,,"83,73","0,868",,,,
Andorra,7,2021-01-22,"0,7729359608","54,14",-42,0,0,AND,Europe,9416,"67,143",93,"0,714","121726,09","478,32","867,995","1202,265",0,"9,234","1,01",,,,,,,,,,,,,747,"9,657","0,0899","11,1",tests performed,,,,,,,,,,,,,,"52,78",77354,"163,755",,,,,,"109,135","7,97",29,"37,8",,,"83,73","0,868",,,,
Angola,5,2020-10-04,"3,477409194","75,91",-12,,,AGO,Africa,5402,"97,714",195,3,"159,193","0,943","2,88","5,747","0,059","0,088","1,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,33933611,"23,89","16,8","2,405","1,362","5819,495",,"276,045","3,94",,,"26,664",,"61,15","0,581",,,,
Angola,12,2021-05-20,"6,815801968","80,32",2,622752,109439,AGO,Africa,31661,"280,857",704,"7,857","933,028","6,572","8,277","20,746","0,236","0,232","1,03",,,,,,,,,,,,,,,,,,,,,,,13781,,,,,406,4722,"0,014","33,33",33933611,"23,89","16,8","2,405","1,362","5819,495",,"276,045","3,94",,,"26,664",,"61,15","0,581",,,,
Angola,15,2021-09-24,"12,45299517","74,54",24,2044303,1000119,AGO,Africa,54280,296,1471,"13,286","1599,594","12,966","8,723","43,349","0,324","0,392","1,25",,,,,,,,,,,,,,,,,,,,,,,44570,,,,,1313,41310,"0,122","63,89",33933611,"23,89","16,8","2,405","1,362","5819,495",,"276,045","3,94",,,"26,664",,"61,15","0,581",,,,
Angola,16,2022-01-09,"6,107554797","70,89",24,8214821,4180976,AGO,Africa,89718,"971,143",1826,"7,714","2643,927","13,762","28,619","53,811","0,206","0,227","0,95",,,,,,,,,,,,,,,,,,,,,,,68018,,,,,2004,62934,"0,185","73,15",33933611,"23,89","16,8","2,405","1,362","5819,495",,"276,045","3,94",,,"26,664",,"61,15","0,581",,,,
Argentina,1,2020-10-01,"573,6617566","88,74",-40,,,ARG,South America,765002,"12390,857",20288,"788,857","16774,218",307,"271,695","444,855","73,477","17,297","1,07",3799,"83,301",,,,,,,2416925,33772,"52,996","0,741",28681,"0,629","0,412","2,4",tests performed,,,,,,,,,,,,,,"87,96",45605823,"16,177","31,9","11,198","7,441","18933,907","0,6","191,032","5,5","16,2","27,7",,5,"76,67","0,845",,,,
Argentina,4,2021-06-09,"563,3148069","87,75",-20,13165275,3316463,ARG,South America,4038528,"26624,571",83272,"564,571","88552,903","652,482","583,798","1825,907","13,266","12,379","0,89",7769,"170,351",,,,,,,15395254,101586,"337,572","2,227",96099,"2,107","0,248",4,tests performed,16048977,12729469,3319208,305,373227,342943,"35,19","27,91","7,28",0,7520,311692,"0,683","77,78",45605823,"16,177","31,9","11,198","7,441","18933,907","0,6","191,032","5,5","16,2","27,7",,5,"76,67","0,845",,,,
Argentina,7,2022-01-31,"241,5114936",71,3,35916165,33761195,ARG,South America,8378656,"62571,286",121273,"261,286","183718,996","953,212","1372,002","2659,156","6,249","5,729","0,63",2909,"63,786",,,,,,,33406743,91819,"732,51","2,013",89066,"1,953","0,469","2,1",tests performed,88810047,40221257,35413064,13441500,356045,285428,"194,73","88,19","77,65","29,47",6259,32544,"0,071","49,07",45605823,"16,177","31,9","11,198","7,441","18933,907","0,6","191,032","5,5","16,2","27,7",,5,"76,67","0,845",,,,
Armenia,2,2020-06-21,"10,92788598","75,83",-15,,,ARM,Asia,20268,"514,429",350,"11,571","6828,546","188,671","173,318","117,919","6,064","3,899","1,03",,,,,,,,,96843,1089,"32,628","0,367",1892,"0,637","0,266","3,8",tests performed,,,,,,,,,,,,,,,2968128,"102,931","35,7","11,232","7,571","8787,58","1,8","341,01","7,11","1,5","52,1","94,043","4,2","75,09","0,776",,,,
Armenia,4,2020-11-13,"28,31239656","67,85",-17,,,ARM,Asia,114383,"1801,429",1697,"27,286","38537,085","573,762","606,924","571,741","9,77","9,193","0,83",,,,,,,,,460606,3697,"155,184","1,246",3797,"1,279","0,437","2,3",tests performed,,,,,,,,,,,,,,,2968128,"102,931","35,7","11,232","7,571","8787,58","1,8","341,01","7,11","1,5","52,1","94,043","4,2","75,09","0,776",,,,
Armenia,5,2021-04-15,"20,44551408","44,3",-10,4473,2182,ARM,Asia,206142,859,3817,"20,286","69451,857","341,629","289,408","1285,996","7,749","6,835","0,94",,,,,,,,,926293,5870,"312,08","1,978",4547,"1,532","0,187","5,3",tests performed,,,,,,261,,,,,88,261,"0,009",,2968128,"102,931","35,7","11,232","7,571","8787,58","1,8","341,01","7,11","1,5","52,1","94,043","4,2","75,09","0,776",,,,
Armenia,6,2021-11-06,"47,92670085","51,41",-4,614096,273455,ARM,Asia,319016,"1753,857",6628,"49,143","107480,54","733,459","590,897","2233,057","15,498","16,557","0,93",,,,,,,,,2177959,8987,"733,782","3,028",11354,"3,825","0,152","6,6",tests performed,,,,,,9717,,,,,3274,5884,"0,198",,2968128,"102,931","35,7","11,232","7,571","8787,58","1,8","341,01","7,11","1,5","52,1","94,043","4,2","75,09","0,776",,,,
Armenia,7,2022-02-20,"18,93447094","35,81",-1,1095723,896723,ARM,Asia,415464,"1297,857",8322,"22,143","139975,095","235,839","437,265","2803,787","4,717","7,46","0,58",,,,,,,,,2865962,3192,"965,579","1,075",5202,"1,753","0,238","4,2",tests performed,1992891,,896723,18849,,3047,"67,14",,"30,21","0,64",1027,1449,"0,049",,2968128,"102,931","35,7","11,232","7,571","8787,58","1,8","341,01","7,11","1,5","52,1","94,043","4,2","75,09","0,776",,,,
Australia,4,2020-08-29,"16,90881593","31,75",-25,,,AUS,Oceania,25670,"122,714",611,"15,571","995,416","4,77","4,759","23,693","0,427","0,604","0,61",31,"1,202",501,"19,427",,,,,6119791,67555,"237,31","2,62",67445,"2,615","0,002",500,tests performed,,,,,,,,,,,,,,"75,46",25788217,"3,202","37,9","15,504","10,129","44648,71","0,5","107,791","5,07",13,"16,5",,"3,84","83,44","0,944",,,,
Australia,9,2021-10-09,"14,26530127","58,8",-23,17821512,12883681,AUS,Oceania,127471,"2297,571",1432,14,"4942,994","92,678","89,094","55,529","0,427","0,543","1,08",293,"11,362",1446,"56,072",,,,,39581452,178140,"1534,866","6,908",190047,"7,37","0,014","71,4",tests performed,30477912,17593798,12883681,433,235638,272193,"118,19","68,22","49,96",0,10555,101597,"0,394","74,54",25788217,"3,202","37,9","15,504","10,129","44648,71","0,5","107,791","5,07",13,"16,5",,"3,84","83,44","0,944",,,,
Australia,12,2022-01-28,"76,41253098","58,4",-16,21824697,20178059,AUS,Oceania,2523265,"56225,286",3632,"84,143","97845,656","2558,533","2180,27","140,84","6,01","3,263","0,82",394,"15,278",4953,"192,064",,,,,60702677,102759,"2353,892","3,985",138036,"5,353","0,187","5,3",tests performed,49343894,21596983,20178059,7568852,306420,235002,"191,34","83,75","78,25","29,35",9113,44623,"0,173","66,2",25788217,"3,202","37,9","15,504","10,129","44648,71","0,5","107,791","5,07",13,"16,5",,"3,84","83,44","0,944",,,,
Australia,13,2022-04-01,"48,93480608","22,35",-11,22304774,20966488,AUS,Oceania,4628163,"57100,286",6365,70,"179468,127","2136,518","2214,201","246,818","13,844","2,714","1,08",95,"3,684",2522,"97,797",,,,,66680026,133814,"2585,678","5,189",120538,"4,674","0,192","5,2",tests performed,56421957,22214445,21260487,12947025,59265,57763,"218,79","86,14","82,44","50,21",2240,3756,"0,015","48,61",25788217,"3,202","37,9","15,504","10,129","44648,71","0,5","107,791","5,07",13,"16,5",,"3,84","83,44","0,944",,,,
Australia,14,2022-05-24,"46,38915879","20,17",-5,22304774,20966488,AUS,Oceania,7071714,"44565,429",8218,"41,714","274222,681","1775,695","1728,131","318,673","1,551","1,618","0,87",108,"4,188",2889,"112,028",,,,,71359956,73842,"2767,154","2,863",86332,"3,348","0,158","6,3",tests performed,57560804,22311183,21598349,13651272,14209,12502,"223,21","86,52","83,75","52,94",485,1308,"0,005","43,06",25788217,"3,202","37,9","15,504","10,129","44648,71","0,5","107,791","5,07",13,"16,5",,"3,84","83,44","0,944",,,,
Austria,1,2020-04-09,"20,01120282","41,26",-58,,,AUT,Europe,12915,347,325,"21,571","1428,165","31,958","38,372","35,939","3,207","2,385","0,64",266,"29,415",1086,"120,092",,,,,126287,5532,"13,965","0,612",4871,"0,539",,,tests performed,,,,,,,,,,,,,,"81,48",9043072,"106,749","44,4","19,202","13,748","45436,686","0,7","145,183","6,35","28,4","30,9",,"7,37","81,54","0,922",,,,
Austria,5,2020-12-04,"128,3352345","58,51",-44,0,0,AUT,Europe,291771,3752,4622,132,"32264,589","394,556","414,903","511,109","15,26","14,597","0,75",642,"70,994",3980,"440,116",,,,,3209340,28674,"354,895","3,171",26925,"2,977",,,tests performed,,,,,,,,,,,,,,"82,41",9043072,"106,749","44,4","19,202","13,748","45436,686","0,7","145,183","6,35","28,4","30,9",,"7,37","81,54","0,922",,,,
Austria,10,2021-12-01,"67,39791729","50,34",-31,6457526,5943324,AUT,Europe,1156022,11267,15485,70,"127835,099","896,819","1245,926","1712,361","8,847","7,741","0,79",651,"71,989",3302,"365,141",,,,,111071336,491554,"12282,478","54,357",441023,"48,769","0,0255","39,1",tests performed,,,,,,110113,,,,,12177,11395,"0,126","62,04",9043072,"106,749","44,4","19,202","13,748","45436,686","0,7","145,183","6,35","28,4","30,9",,"7,37","81,54","0,922",,,,
Austria,12,2022-03-29,"39,3893895","32,1",-5,6819289,6410132,AUT,Europe,3781719,"35793,714",18878,"40,429","418189,637","2329,96","3958,137","2087,565","3,649","4,471","0,77",237,"26,208",3287,"363,483",,,,,174441569,526435,"19290,079","58,214",432235,"47,797","0,0828","12,1",tests performed,,,,,,3336,,,,,369,220,"0,002","40,74",9043072,"106,749","44,4","19,202","13,748","45436,686","0,7","145,183","6,35","28,4","30,9",,"7,37","81,54","0,922",,,,
Azerbaijan,2,2020-07-20,"7,825358239","64,02",-21,,,AZE,Asia,27890,"474,286",363,"7,143","2728,07","36,094","46,392","35,507","0,88","0,699","0,85",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,3",10223344,"119,309","32,4","6,018","3,871","15847,419",,"559,812","7,11","0,3","42,5","83,241","4,7",73,"0,756",,,,
Azerbaijan,4,2020-12-14,"41,38147128","81,76",-20,0,0,AZE,Asia,178986,"4174,429",1966,"41,571","17507,579","304,401","408,323","192,305","4,304","4,066","0,99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,09",10223344,"119,309","32,4","6,018","3,871","15847,419",,"559,812","7,11","0,3","42,5","83,241","4,7",73,"0,756",,,,
Azerbaijan,5,2021-04-14,"32,66803555","73,88",-10,813413,429778,AZE,Asia,291894,"2204,286",4009,"32,714","28551,715","224,291","215,613","392,142","3,032","3,2","1,04",,,,,,,,,,,,,,,,,,1243191,813413,429778,,31028,31057,"12,16","7,96","4,2",,3038,24850,"0,243","72,22",10223344,"119,309","32,4","6,018","3,871","15847,419",,"559,812","7,11","0,3","42,5","83,241","4,7",73,"0,756",,,,
Azerbaijan,7,2021-09-01,"37,37512795","48,31",-8,4204320,2731755,AZE,Asia,428736,3844,5677,"39,143","41936,963","376,1","376,002","555,298","4,01","3,829","1,03",,,,,,,,,4481039,19102,"438,314","1,868",15736,"1,539","0,2443","4,1",tests performed,6911439,4179684,2731755,,105699,82305,"67,6","40,88","26,72",,8051,49862,"0,488","63,89",10223344,"119,309","32,4","6,018","3,871","15847,419",,"559,812","7,11","0,3","42,5","83,241","4,7",73,"0,756",,,,
Azerbaijan,8,2021-11-05,"26,66229207","50,96",-4,5021160,4424698,AZE,Asia,542150,"2175,714",7208,"26,714","53030,594","238,669","212,818","705,053","2,543","2,613","1,06",,,,,,,,,5256832,13794,"514,199","1,349",11209,"1,096","0,1941","5,2",tests performed,,,,,,35007,,,,,3424,330,"0,003","76,85",10223344,"119,309","32,4","6,018","3,871","15847,419",,"559,812","7,11","0,3","42,5","83,241","4,7",73,"0,756",,,,
Azerbaijan,9,2022-02-14,"25,52042941","55,63",-4,5292180,4764378,AZE,Asia,747918,"6369,143",9077,"25,571","73157,863","268,894",623,"887,87","2,641","2,501","0,95",,,,,,,,,6414158,15682,"627,403","1,534",17298,"1,692","0,3682","2,7",tests performed,12478529,5267544,4764378,2446607,272,37131,"122,06","51,52","46,6","23,93",3632,2737,"0,027","79,63",10223344,"119,309","32,4","6,018","3,871","15847,419",,"559,812","7,11","0,3","42,5","83,241","4,7",73,"0,756",,,,
Bahamas,3,2020-08-23,"2,23584318","42,65",-72,,,BHS,North America,1784,67,29,"1,571","4494,676","47,869","168,802","73,064","5,039","3,959","1,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,09",396914,"39,497","34,3","8,996","5,2","27717,847",,"235,954","13,17","3,1","20,4",,"2,9","73,92","0,814",,,,
Bahamas,13,2021-09-03,"7,418966587","66,01",-17,104329,58801,BHS,North America,18694,"107,714",412,"8,286","47098,364","297,294","271,379","1038,008",0,"20,875","1,08",,,,,,,,,,,,,,,,,,,,,,,2243,,,,,5651,2122,"0,535","52,31",396914,"39,497","34,3","8,996","5,2","27717,847",,"235,954","13,17","3,1","20,4",,"2,9","73,92","0,814",,,,
Bahrain,3,2020-06-21,"2,7523748","70,52",-21,,,BHR,Asia,21764,"505,286",63,3,"12448,7","247,67","289,016","36,035","1,716","1,716","1,05",,,,,,,,,,,,,8521,"4,874","0,0593","16,9",units unclear,,,,,,,,,,,,,,75,1748295,"1935,907","32,4","2,372","1,387","43290,705",,"151,689","16,52","5,8","37,6",,2,"77,29","0,852",,,,
Bahrain,7,2020-10-14,"2,871495477","58,82",-18,,,BHR,Asia,76621,"384,143",287,"3,571","43826,128","199,623","219,724","164,16","1,144","2,043","0,83",,,,,,,,,1568037,10399,"896,895","5,948",8424,"4,818","0,0456","21,9",units unclear,,,,,,,,,,,,,,"60,19",1748295,"1935,907","32,4","2,372","1,387","43290,705",,"151,689","16,52","5,8","37,6",,2,"77,29","0,852",,,,
Bahrain,12,2021-06-01,"20,05895138","70,33",-22,959135,798397,BHR,Asia,242790,"2739,571",1009,"20,429","138872,444","1292,116","1566,996","577,134","16,588","11,685","0,9",,,,,,,,,4643466,17285,"2655,997","9,887",19141,"10,948","0,1431",7,units unclear,1755570,957173,798397,,22842,19196,"100,42","54,75","45,67",,10980,9812,"0,561","62,96",1748295,"1935,907","32,4","2,372","1,387","43290,705",,"151,689","16,52","5,8","37,6",,2,"77,29","0,852",,,,
Bahrain,18,2022-02-18,"1,823646124","66,01",-2,1230713,1156870,BHR,Asia,485163,"4463,857",1435,2,"277506,37","2088,32","2553,263","820,8","1,144","1,144","0,75",,,,,,,,,9266163,,"5300,114",,26402,"15,102","0,1691","5,9",units unclear,,,,,,1398,,,,,800,161,"0,009","38,89",1748295,"1935,907","32,4","2,372","1,387","43290,705",,"151,689","16,52","5,8","37,6",,2,"77,29","0,852",,,,
Bangladesh,3,2020-07-03,"43,0745377","64,3",-45,,,BGD,Asia,156391,"3702,429",1968,"43,857","940,395","18,725","22,263","11,834","0,253","0,264","0,95",,,,,,,,,818183,14650,"4,92","0,088",17201,"0,103","0,2152","4,6",tests performed,,,,,,,,,,,,,,"74,54",166303494,"1265,036","27,5","5,098","3,262","3523,984","14,8","298,003","8,38",1,"44,7","34,808","0,8","72,59","0,632",,,,
Bangladesh,8,2021-04-19,"91,84980991","68,18",-53,5729588,1522399,BGD,Asia,723221,"4466,286",10497,"96,429","4348,802","25,682","26,856","63,12","0,673","0,58","0,79",,,,,,,,,5195554,24152,"31,241","0,145",22341,"0,134","0,1999",5,tests performed,,,,,,154261,,,,,928,11432,"0,007","83,33",166303494,"1265,036","27,5","5,098","3,262","3523,984","14,8","298,003","8,38",1,"44,7","34,808","0,8","72,59","0,632",,,,
Bangladesh,9,2021-08-04,"237,2099781","64,99",-31,9887992,4419129,BGD,Asia,1309910,"14132,571",21638,"231,714","7876,623","83,083","84,981","130,112","1,449","1,393","1,03",,,,,,,,,7950018,49514,"47,804","0,298",48014,"0,289","0,2943","3,4",tests performed,,,,,,483749,,,,,2909,466495,"0,281","93,52",166303494,"1265,036","27,5","5,098","3,262","3523,984","14,8","298,003","8,38",1,"44,7","34,808","0,8","72,59","0,632",,,,
Bangladesh,12,2022-02-06,"31,22152699","52,81",32,100189795,66597640,BGD,Asia,1861532,"10885,714",28589,"32,286","11193,583","50,179","65,457","171,909","0,174","0,194","0,82",,,,,,,,,12727764,38821,"76,533","0,233",41869,"0,252","0,26","3,8",tests performed,,,,,,957674,,,,,5759,260940,"0,157","68,52",166303494,"1265,036","27,5","5,098","3,262","3523,984","14,8","298,003","8,38",1,"44,7","34,808","0,8","72,59","0,632",,,,
Barbados,7,2021-10-28,"2,94451413","57,69",-14,148700,124798,BRB,North America,16782,"350,857",151,"3,857","58329,973","1244,317","1219,49","524,838","6,951","13,406","1,06",,,,,,,,,,,,,,,,,,273025,148227,124798,,1004,964,"94,9","51,52","43,38",,3351,266,"0,092","67,59",287708,"664,463","39,8","14,952","9,473","16978,068",,"170,05","13,57","1,9","14,5","88,469","5,8","79,19","0,814",,,,
Barbados,10,2022-03-31,"3,485635844","57,69",8,161612,151177,BRB,North America,59272,"163,429",374,"6,429","206014,431","667,343","568,036","1299,929","149,457","22,344","1,19",,,,,,,,,,,,,907,"3,153","0,1802","5,5",tests performed,,,,,,87,,,,,302,36,"0,013","47,22",287708,"664,463","39,8","14,952","9,473","16978,068",,"170,05","13,57","1,9","14,5","88,469","5,8","79,19","0,814",,,,
Belarus,12,2021-10-28,"16,37115488","67,79",-11,2864916,2089710,BLR,Europe,594203,"2024,857",4580,"16,286","62926,122","209,576","214,432","485,022","1,8","1,725","0,99",,,,,,,,,9515805,,"1007,724",,37666,"3,989","0,0538","18,6",tests performed,,,,,,44274,,,,,4689,23607,"0,25","19,44",9442867,"46,858","40,3","14,799","9,788","17167,967",,"443,129","5,18","10,5","46,1",,11,"74,79","0,823",,,,
Belgium,1,2020-04-13,"281,5135749","14,13",-74,,,BEL,Europe,30589,"1396,429",3903,"324,429","2629,653","80,981","120,047","335,53","26,048","27,89","1,14",1226,"105,396",5554,"477,462",,,2750,"236,41",157260,6698,"13,519","0,576",7768,"0,668","0,21","4,8",tests performed,,,,,,,,,,,,,,"81,48",11632334,"375,564","41,8","18,571","12,849","42658,576","0,2","114,898","4,29","25,1","31,4",,"5,64","81,63","0,931",,,,
Belgium,3,2020-11-10,"189,679769","73,03",-56,,,BEL,Europe,507475,"7847,714",13561,205,"43626,24","369,057","674,647","1165,802","29,659","17,623","0,75",1470,"126,372",7058,"606,757",,,3850,"330,974",5365741,39205,"461,278","3,37",33906,"2,915","0,219","4,6",tests performed,,,,,,,,,,,,,,"65,74",11632334,"375,564","41,8","18,571","12,849","42658,576","0,2","114,898","4,29","25,1","31,4",,"5,64","81,63","0,931",,,,
Belgium,8,2021-12-06,"47,2346532","56,84",-18,8923841,8388411,BEL,Europe,1868906,"17062,429",27319,"50,429","160664,747","3562,398","1466,81","2348,54","13,067","4,335","1,03",817,"70,235",3662,"314,812",,,2105,"180,961",25466862,85957,"2189,317","7,389",107010,"9,199","0,169","5,9",tests performed,19457473,8889327,8754245,2239030,83972,87843,"167,27","76,42","75,26","19,25",7552,2528,"0,022",50,11632334,"375,564","41,8","18,571","12,849","42658,576","0,2","114,898","4,29","25,1","31,4",,"5,64","81,63","0,931",,,,
Belize,4,2020-11-26,"4,008213293",,,,,BLZ,North America,5515,71,131,"4,143","13620,142","227,208","175,345","323,525","4,939","10,231","0,95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66,67",404915,"16,426",25,"3,853","2,279","7824,362",,"176,957","17,11",,,"90,083","1,3","74,62","0,716",,,,
Belize,16,2021-11-12,"3,575961425","52,19",-2,226256,187697,BLZ,North America,28899,"143,571",534,"3,571","71370,535","370,448","354,572","1318,795","9,879","8,82","0,92",,,,,,,,,,,,,1379,"3,406","0,1041","9,6",tests performed,398131,226060,187697,,,898,"98,32","55,83","46,35",,2218,139,"0,034","70,37",404915,"16,426",25,"3,853","2,279","7824,362",,"176,957","17,11",,,"90,083","1,3","74,62","0,716",,,,
Benin,4,2020-06-26,"0,7057482123","56,3",-13,,,BEN,Africa,1053,"57,571",14,"0,429","84,571","2,891","4,624","1,124",0,"0,034","1,07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,67",12451031,"99,11","18,8","3,244","1,942","2064,236","49,6","235,848","0,99","0,6","12,3","11,035","0,5","61,77","0,545",,,,
Benin,9,2021-02-17,"0,9726523084","55,15",-21,0,0,BEN,Africa,5143,"83,286",65,"1,286","413,058","8,353","6,689","5,22","0,241","0,103","0,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,56",12451031,"99,11","18,8","3,244","1,942","2064,236","49,6","235,848","0,99","0,6","12,3","11,035","0,5","61,77","0,545",,,,
