index,location,peak_date,n_peak,peak_magnitude,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
1953,Morocco,2021-08-09,2,9006.72893097263,2.41177675775005,1,7,5,2,2,47.55,-3,15354231,11069848,MAR,Africa,701325,9628857,10404,74143,18779.73,135039,257837,278593,1848,1985,1.2,,,,,,,,,7320718,18852,196031,505,41129,1101,0.2341,4.3,people tested,26412218,15342370,11069848,,443423,307844,70.73,41.08,29.64,,8243,195531,524,59.26,37344787,80.08,29.6,6769,4209,7485013,1,419146,7.14,0.8,47.1,,1.1,76.68,686,,,,
1954,Morocco,2022-01-17,3,6698.63027310049,1.79372566058564,32,12,4,2,2,31.26,-3,24727353,23113322,MAR,Africa,1051830,6732,14994,11286,28165377,85072,180266,401502,482,302,1.29,,,,,,,,,,,,,28967,776,0.2324,4.3,people tested,,,,,,54615,,,,,1462,2927,8,68.52,37344787,80.08,29.6,6769,4209,7485013,1,419146,7.14,0.8,47.1,,1.1,76.68,686,,,,
2011,Netherlands,2022-02-06,1,96114.2833962525,55.9679481147966,7,3,31,9,12,43.02,-23,13518626,12339230,NLD,Europe,4979056,76755286,21413,8857,289933544,4519803,4469508,1246892,524,516,1.63,211,12287,1133,65975,105,6114,1238,72.09,26421826,121636,1538559,7083,139676,8133,607,1.6,tests performed,,,,,,29723,,,,,1731,2385,14,58.33,17173094,508544,43.2,18779,11881,48472545,,109361,5.29,24.4,27.3,,3.32,82.28,944,27657.1,8.38,-4.79,1610.490224
2289,Russia,2020-12-21,1,27795.9908990787,1.90498291491559,1,12,4,2,2,67.44,-11,48643,85052,RUS,Europe,2850042,27634429,50723,553857,19532606,198181,189391,347627,3297,3796,1.03,,,,,,,,,86704613,312930,594225,2145,459935,3152,0.0601,16.6,tests performed,,,,,,3357,,,,,23,3357,2,47.69,145912022,8823,39.6,14178,9393,24765954,0.1,431297,6.18,23.4,58.3,,8.05,72.58,824,,,,
2293,Russia,2022-02-12,2,177274.930516075,12.1494396476854,3,1,17,4,6,49.37,-14,78683904,70894990,RUS,Europe,13728138,184927857,332727,673286,94085037,1384087,1267393,2280326,4914,4614,1.2,,,,,,,,,,,,,967948,6634,0.1911,5.2,tests performed,157657205,77847010,70894990,11052808,245443,287121,108.05,53.35,48.59,7.57,1968,105506,72,40.28,145912022,8823,39.6,14178,9393,24765954,0.1,431297,6.18,23.4,58.3,,8.05,72.58,824,,,,
2563,South Africa,2020-07-16,1,11921.6002139536,1.98554362082726,1,12,4,2,2,81.31,-34,,,ZAF,Africa,324221,12268857,4669,135571,5399904,219.38,204338,77762,3597,2258,1.13,,,,,,,,,2324923,46796,38722,779,46336,772,0.2648,3.8,people tested,,,,,,,,,,,,,,80.56,60041996,46754,27.3,5344,3053,12294876,18.9,200.38,5.52,8.1,33.2,43993,2.32,64.13,709,,,,
2565,South Africa,2021-01-08,2,16694.3436809007,2.78044448770502,22,7,5,2,3,83.5,-34,0,2124,ZAF,Africa,1192570,16954714,32425,505429,19862264,366077,282381,540039,10259,8418,1.2,,,,,,,,,7043680,76202,117313,1269,54909,915,0.3088,3.2,people tested,,,,,,,,,,,,,,67.59,60041996,46754,27.3,5344,3053,12294876,18.9,200.38,5.52,8.1,33.2,43993,2.32,64.13,709,,,,
2567,South Africa,2021-07-05,3,18478.5257211827,3.07760017191679,22,28,6,2,3,84.84,-12,3466228,1208436,ZAF,Africa,2075409,19184286,62171,304714,34565956,208404,319514,1035459,5513,5075,1.15,,,,,,,,,13489570,39556,224669,659,68238,1137,0.2811,3.6,people tested,3466228,3466228,,,151950,96890,5.77,5.77,,,1614,96890,161,75,60041996,46754,27.3,5344,3053,12294876,18.9,200.38,5.52,8.1,33.2,43993,2.32,64.13,709,,,,
2569,South Africa,2021-12-14,4,19511.7575135724,3.24968502272516,22,28,6,2,3,73.54,11,18660904,15473473,ZAF,Africa,3204642,21917143,90172,24286,53373342,397339,365.03,1501815,0.4,404,1.42,,,,,,,,,20352343,68437,338968,1.14,73351,1222,0.2988,3.3,people tested,27298525,18530650,15473473,,109919,94176,45.47,30.86,25.77,,1569,68224,114,54.63,60041996,46754,27.3,5344,3053,12294876,18.9,200.38,5.52,8.1,33.2,43993,2.32,64.13,709,,,,
2570,South Africa,2022-05-10,5,6717.70838681161,1.11883495458939,21,6,3,1,2,53.07,27,21934550,18473107,ZAF,Africa,3852148,7135714,100559,26,64157561,125296,118845,1674811,433,433,1.24,,,,,,,,,24726029,32756,411812,546,28418,473,0.2511,4,people tested,35182056,21408366,18451136,2858722,53644,42128,58.6,35.66,30.73,4.76,702,14728,25,34.26,60041996,46754,27.3,5344,3053,12294876,18.9,200.38,5.52,8.1,33.2,43993,2.32,64.13,709,,,,
2618,Spain,2021-01-23,1,34491.4188730886,7.37859946189752,19,5,12,3,5,96.18,-47,794655,81032,ESP,Europe,2499560,35342286,55441,303857,53472002,0,756062,1186025,0,6.5,1.23,4089,87474,23946,512266,2301,49224,22107,472925,27242227,191328,582781,4093,250077,5.35,0.16,6.2,tests performed,,,,,,55680,,,,,1191,44565,95,71.3,46745211,93105,45.5,19436,13799,34272.36,1,99403,7.17,27.4,31.4,,2.97,83.56,904,,,,
