index,location,peak_date,n_peak,peak_magnitude,peak_magnitude_norm,cluster_fd_km,cluster_fd_agg,cluster_fd_jenks,cluster_sturges_jenks,cluster_scott_jenks,mask_use,mobility,vaccination_1_dose,vaccination_full,iso_code,continent,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
0,Afghanistan,2020-06-04,1,693.301783877709,0.174041504933174,8,32,1,1,1,44.98,-21,,,AFG,Asia,17977,696429,303,9143,451282,15664,17483,7606,126,0.23,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.26,39835428,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
3,Afghanistan,2020-12-02,2,219.881093033393,0.0551973718051663,8,32,1,1,1,35.15,12,0,0,AFG,Asia,46717,205571,1795,11857,1172.75,5498,5161,45.06,527,298,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,39835428,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
4,Afghanistan,2021-06-21,3,1721.63352247545,0.432186525641309,29,13,2,1,1,42.98,2,569954,182950,AFG,Asia,103902,1777714,4215,86143,2608281,50106,44626,105.81,2335,2162,1.12,,,,,,,,,,,,,,,,,,,,,,,12986,,,,,326,12174,31,46.3,39835428,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
11,Afghanistan,2022-05-29,4,67.8631631863788,0.0170358815239487,8,32,1,1,1,29.93,41,5634177,4915547,AFG,Asia,180174,65429,7701,429,4522959,1305,1642,193.32,0,11,1.27,,,,,,,,,,,,,,,,,,,,,,,5985,,,,,150,5559,14,11.11,39835428,54422,18.6,2581,1337,1803987,,597029,9.59,,,37746,0.5,64.83,511,,,,
25,Albania,2020-12-07,1,765.156147280713,2.66332657583054,22,7,5,2,3,60.91,-30,0,0,ALB,Europe,43683,785857,922,16,15205013,241913,273538,320926,5917,5569,1.05,,,,,,,,,190587,1963,66339,683,1921,669,0.4091,2.4,tests performed,,,,,,,,,,,,,,65.74,2872934,104871,38,13188,8643,11803431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795,,,,
26,Albania,2021-02-11,2,1056.97373907616,3.67907421150698,12,17,7,2,3,54.94,-30,789,481,ALB,Europe,89776,1111857,1517,14143,31248891,384624,387011,528032,4873,4923,1.08,,,,,,,,,382779,4092,133236,1424,3576,1245,0.3109,3.2,tests performed,,,,,,79,,,,,27,29,1,60.19,2872934,104871,38,13188,8643,11803431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795,,,,
27,Albania,2021-09-08,3,861.575407720058,2.99893909056058,22,28,6,2,3,23.22,6,881514,687854,ALB,Europe,153318,849857,2528,3857,53366.35,375574,295815,879937,1.74,1343,1.12,,,,,,,,,1059234,6732,368694,2343,5735,1996,0.1482,6.7,tests performed,1567313,879459,687854,,13687,11723,54.55,30.61,23.94,,4080,6121,213,41.67,2872934,104871,38,13188,8643,11803431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795,,,,
29,Albania,2022-01-17,4,1940.5755655746,6.75468202741379,6,2,11,3,4,28.95,-14,1193682,1081283,ALB,Europe,233654,1881,3271,4286,81329401,353994,654731,1138557,696,1492,1.36,,,,,,,,,1513915,4024,526958,1401,6690,2329,0.2812,3.6,tests performed,,,,,,5976,,,,,2080,1674,58,43.52,2872934,104871,38,13188,8643,11803431,1.1,304195,10.08,7.1,51.2,,2.89,78.57,795,,,,
36,Algeria,2020-07-25,1,595.158209103835,0.133393818058729,8,32,1,1,1,46.57,-21,,,DZA,Africa,26764,602143,1146,11143,599866,13.56,13496,25685,224,0.25,1.09,63,1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.07,44616626,17348,29.1,6211,3857,13913839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748,,,,
37,Algeria,2020-11-23,2,1013.49177395716,0.227155628925674,8,13,1,1,1,46.8,-15,,,DZA,Africa,75867,1039714,2294,18,1700.42,22525,23303,51416,493,403,1.17,46,1031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,44616626,17348,29.1,6211,3857,13913839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748,,,,
40,Algeria,2021-07-28,3,1380.83626720159,0.309489172758512,29,13,1,1,1,49.51,4,3002594,642284,DZA,Africa,167131,1446571,4161,23857,3745935,43.19,32422,93261,1098,535,1.2,36,807,,,,,,,,,,,,,,,,,,,,,22369,,,,,501,18386,41,49.07,44616626,17348,29.1,6211,3857,13913839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748,,,,
41,Algeria,2022-01-25,4,1715.50898010183,0.384499935091871,29,13,2,1,1,42.17,12,7335244,5906889,DZA,Africa,241406,1978143,6516,11571,5410674,56504,44336,146044,179,259,1.57,44,986,,,,,,,,,,,,,,,,,,,,,16222,,,,,364,5204,12,65.74,44616626,17348,29.1,6211,3857,13913839,0.5,278364,6.73,0.7,30.4,83741,1.9,76.88,748,,,,
46,Andorra,2020-10-23,1,95.9232001243408,12.4005481454535,3,1,17,4,6,57.47,-23,,,AND,Europe,4038,94429,69,1429,52201567,2934561,1220733,892003,77565,18468,1.23,,,,,,,,,,,,,1162,15022,0.0813,12.3,tests performed,,,,,,,,,,,,,,59.26,77354,163755,,,,,,109135,7.97,29,37.8,,,83.73,868,,,,
53,Andorra,2022-01-10,2,423.892022638769,54.7989790623328,7,3,31,9,12,49.61,-23,57602,52573,AND,Europe,27983,497286,141,143,361752463,20360938,6428701,1822789,0,1847,1.14,,,,,,,,,281100,,3633943,,853,11027,583,1.7,tests performed,,,,,,865,,,,,11182,27,35,44.44,77354,163755,,,,,,109135,7.97,29,37.8,,,83.73,868,,,,
58,Andorra,2022-05-15,3,62.0458992426625,8.0210330742641,19,5,12,3,5,39.7,-7,57968,54490,AND,Europe,42156,62714,153,0,544975.05,0,810744,1977.92,0,0,0.58,,,,,,,,,,,,,,,,,,,,,,,14,,,,,181,0,0,8.33,77354,163755,,,,,,109135,7.97,29,37.8,,,83.73,868,,,,
63,Angola,2020-10-27,1,239.67526650096,0.0706306400756937,8,32,1,1,1,78.38,-13,,,AGO,Africa,9871,260286,271,2857,290892,6.69,7.67,7986,29,84,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,33933611,23.89,16.8,2405,1362,5819495,,276045,3.94,,,26664,,61.15,581,,,,
67,Angola,2021-05-19,2,270.195614558074,0.079624775140516,8,32,1,1,1,80.01,2,614519,92327,AGO,Africa,31438,290429,696,7286,926456,11581,8559,20511,324,215,1.05,,,,,,,,,,,,,,,,,,,,,,,11468,,,,,338,4020,12,33.33,33933611,23.89,16.8,2405,1362,5819495,,276045,3.94,,,26664,,61.15,581,,,,
69,Angola,2021-09-30,3,464.223472241279,0.136803440176549,8,32,1,1,1,72.78,30,2410995,1074811,AGO,Africa,56583,391857,1537,11,1667462,0,11548,45294,0,324,1.21,,,,,,,,,,,,,,,,,,,,,,,64012,,,,,1886,52870,156,63.89,33933611,23.89,16.8,2405,1362,5819495,,276045,3.94,,,26664,,61.15,581,,,,
70,Angola,2021-12-30,4,1271.02888252344,0.374563403382988,29,13,2,1,1,65.54,85,7723572,3929727,AGO,Africa,79871,1644143,1764,3,2353743,41139,48452,51984,118,88,2,,,,,,,,,,,,,,,,,,11615144,7685417,3929727,,,64318,34.23,22.65,11.58,,1895,37393,0.11,73.15,33933611,23.89,16.8,2405,1362,5819495,,276045,3.94,,,26664,,61.15,581,,,,
